open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,442.47,444.89,442.07,444.23,9601583.832,1775833199999,4261717261.89892,17888,6036384.537,2679396754.60335,0
1775833200000,444.23,444.91,442.07,442.44,9414983.947,1775836799999,4174925978.16165,16156,3966042.006,1759316128.31630,0
1775836800000,442.44,444.92,442.43,444.87,6181322.234,1775840399999,2741693219.64830,14282,4607282.030,2043455699.47697,0
1775840400000,444.85,444.96,443.36,444.32,5245693.847,1775843999999,2329827359.90336,12482,1921904.351,853598377.18964,0
1775844000000,444.32,444.96,443.6,444.96,6376963.995,1775847599999,2833584882.20223,16616,3715974.079,1651449732.54535,0
1775847600000,444.96,446.4,444.9,445.57,5301739.516,1775851199999,2362564355.19763,13854,3098095.535,1380737666.17185,0
1775851200000,445.63,445.82,444.37,445.73,5350441.963,1775854799999,2381641989.76379,14614,2735079.606,1217611621.55778,0
1775854800000,445.73,445.82,444.86,445.06,2891298.364,1775858399999,1287373677.57451,10212,1308997.631,582873237.44124,0
1775858400000,445.06,445.41,443.75,444.74,4389093.272,1775861999999,1951834756.86214,12379,2177122.486,968459352.70575,0
1775862000000,444.74,444.77,443.29,443.48,3165196.891,1775865599999,1404836732.36178,11643,702060.846,311483190.74063,0
1775865600000,443.48,444.4,442.66,444.4,4163572.926,1775869199999,1845803776.83885,12666,2828111.699,1254139426.74607,0
1775869200000,444.4,444.54,443.0,443.95,3440236.976,1775872799999,1526311881.23263,12124,1733507.696,769158356.21402,0
1775872800000,443.96,444.9,443.12,444.65,5606440.475,1775876399999,2489534147.98949,15419,3433996.238,1525213046.33345,0
1775876400000,444.65,444.85,442.97,442.97,3975332.296,1775879999999,1764731150.12185,15219,775381.134,344458202.06086,0
1775880000000,442.97,443.08,441.78,441.8,4067287.736,1775883599999,1799745520.22629,15086,1716938.434,759870847.44630,0
1775883600000,441.8,441.81,440.29,440.3,5534045.142,1775887199999,2441739024.42571,13725,2055379.154,907214861.37011,0
1775887200000,440.3,440.36,438.9,439.46,6525460.465,1775890799999,2867965028.40732,14303,2045699.058,898943403.51513,0
1775890800000,439.46,440.14,439.27,439.95,1519977.415,1775894399999,668321184.70816,10710,1390174.375,611221910.99810,0
1775894400000,439.85,441.35,439.78,440.97,3806697.238,1775897999999,1677693135.47076,12680,2850493.381,1256397001.25784,0
1775898000000,440.97,441.89,440.55,440.66,5054730.414,1775901599999,2230077403.02793,13640,2063792.193,910735701.38559,0
1775901600000,440.66,440.81,439.81,439.95,6479155.215,1775905199999,2853211135.60882,16797,2094604.313,922577849.75677,0
1775905200000,439.95,440.25,438.88,439.68,4614439.549,1775908799999,2028692038.75402,14890,2717366.582,1194687191.15271,0
1775908800000,439.68,440.4,439.42,439.57,5640900.444,1775912399999,2481428738.09155,15878,2442146.400,1074598263.56700,0
1775912400000,439.57,439.58,437.99,439.1,5770971.673,1775915999999,2531801521.04380,15557,2977319.447,1306041636.90163,0
1775916000000,439.18,439.63,437.99,438.14,3673205.82,1775919599999,1612539885.99788,13737,1628378.036,714968362.66610,0
1775919600000,438.14,439.42,437.99,438.31,3938904.512,1775923199999,1727892480.40232,12406,2461979.111,1080239437.54382,0
1775923200000,438.34,439.44,437.98,438.75,5560173.41,1775926799999,2439617436.18046,11766,3658074.451,1605184933.77178,0
1775926800000,438.75,439.3,438.15,438.35,4652244.453,1775930399999,2041437489.15014,14479,2415384.303,1059977943.35530,0
1775930400000,438.35,439.99,437.98,439.53,5438796.161,1775933999999,2388046172.05440,12597,3741420.728,1642875873.41790,0
1775934000000,439.53,441.14,439.53,440.72,6262028.379,1775937599999,2757939017.62410,14799,4066485.579,1790791409.99090,0
