open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828460000,441.92,441.92,441.75,441.76,157201.309,1775828519999,69462931.24791,286,0.421,186.03840,0
1775828520000,441.76,441.76,441.74,441.76,22912.874,1775828579999,10121580.95395,215,3.260,1440.11237,0
1775828580000,441.77,441.81,441.66,441.69,59808.052,1775828639999,26418691.68898,265,0.897,396.24270,0
1775828640000,441.69,441.71,441.48,441.71,2.616,1775828699999,1155.32159,137,1.482,654.58109,0
1775828700000,441.71,442.18,441.71,442.17,465259.542,1775828759999,205632640.80046,605,465258.608,205632227.81368,0
1775828760000,442.17,442.18,442.05,442.05,3.93,1775828819999,1737.64031,144,1.087,480.64966,0
1775828820000,442.05,442.1,442.04,442.1,2.362,1775828879999,1044.21004,127,1.800,795.78000,0
1775828880000,442.1,442.6,442.1,442.6,368929.253,1775828939999,163175957.29592,499,368929.030,163175858.59612,0
1775828940000,442.6,442.61,442.6,442.61,2.718,1775828999999,1203.00491,134,1.811,801.56671,0
1775829000000,442.61,442.61,442.59,442.59,1.984,1775829059999,878.11364,119,0.229,101.35769,0
1775829060000,442.59,442.61,442.58,442.58,30233.502,1775829119999,13380921.30672,149,0.452,200.05972,0
1775829120000,442.58,442.66,442.58,442.65,58294.203,1775829179999,25803254.95547,263,58293.301,25802855.73613,0
1775829180000,442.65,442.71,442.64,442.65,260708.336,1775829239999,115410128.77289,554,260706.657,115409385.52477,0
1775829240000,442.65,442.71,442.58,442.58,379.973,1775829299999,168217.63171,128,377.866,167285.05461,0
1775829300000,442.58,442.58,442.24,442.24,299747.314,1775829359999,132619444.37104,374,0.416,183.97652,0
1775829360000,442.24,442.3,442.24,442.3,99.979,1775829419999,44217.45360,149,90.985,40239.93972,0
1775829420000,442.3,442.32,442.23,442.23,15701.867,1775829479999,6943993.77919,167,2.160,955.35319,0
1775829480000,442.23,442.26,442.11,442.26,73676.533,1775829539999,32576303.35023,299,1.179,521.34254,0
1775829540000,442.26,442.58,442.26,442.47,212588.602,1775829599999,94043316.64312,413,212586.739,94042492.23556,0
1775829600000,442.47,442.6,442.43,442.6,46244.018,1775829659999,20466687.86111,246,46242.675,20466093.66075,0
1775829660000,442.6,442.6,442.53,442.53,361.325,1775829719999,159922.39429,145,359.864,159275.80640,0
1775829720000,442.53,442.63,442.52,442.61,23220.864,1775829779999,10277934.56419,227,23219.654,10277399.05611,0
