open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,602.36,607.56,602.36,607.35,8218519.99,1775833199999,4977438319.28380,17678,6606080.15,4000166356.49080,0
1775833200000,607.35,608.75,603.48,603.58,7443391.06,1775836799999,4514886199.50460,16455,2545924.25,1545619968.33910,0
1775836800000,603.58,606.46,603.48,606.35,4848855.47,1775840399999,2935063288.25140,16489,3416309.47,2067946388.54340,0
1775840400000,606.35,607.76,605.81,607.69,2746294.62,1775843999999,1666029727.84110,11883,2159448.54,1310332613.52830,0
1775844000000,607.69,609.7,607.17,609.54,3264893.05,1775847599999,1986239597.61310,14650,2355863.03,1433902340.21970,0
1775847600000,609.54,610.41,608.91,609.65,2894613.36,1775851199999,1764830865.58500,13684,1387421.59,846022736.34140,0
1775851200000,609.79,610.6,608.48,610.47,5291009.09,1775854799999,3225864805.47350,16572,2323419.44,1416689120.94410,0
1775854800000,610.47,610.55,606.93,608.03,2945685.78,1775858399999,1793349137.20340,13062,887562.24,539889513.28930,0
1775858400000,608.03,608.28,606.5,607.06,1652868.22,1775861999999,1003763427.62400,10171,257388.48,156390102.29330,0
1775862000000,607.07,607.07,605.82,605.88,1894183.5,1775865599999,1148577739.99950,12448,727118.00,440916518.83790,0
1775865600000,605.88,605.92,604.96,605.02,1107514.83,1775869199999,670547192.17760,9721,186672.90,113056234.13050,0
1775869200000,605.02,605.69,603.89,605.46,3073097.97,1775872799999,1858473711.71640,12581,1569584.73,949552798.64100,0
1775872800000,605.46,606.78,604.91,606.12,2622383.81,1775876399999,1588803242.81320,13193,1566662.57,949235269.25000,0
1775876400000,606.12,607.99,606.12,606.93,3641407.41,1775879999999,2210803840.17550,14866,1725079.35,1047341642.25650,0
1775880000000,606.93,607.94,606.0,606.52,2760902.67,1775883599999,1675417438.78250,13016,1329843.80,807148676.41650,0
1775883600000,606.52,607.23,605.23,605.96,3425070.62,1775887199999,2076943112.71280,13809,1726302.65,1047172538.76640,0
1775887200000,605.97,606.62,604.81,606.16,2447493.15,1775890799999,1482172673.81400,13945,1272663.14,770881887.29570,0
