open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,5242.0,5245.5,5240.8,5244.5,187.333,1775829599999,982275.9660,2040,134.683,706257.4686,0
1775829600000,5244.5,5262.5,5244.5,5258.8,905.828,1775830499999,4759357.3256,2503,888.404,4667849.5203,0
1775830500000,5258.8,5262.5,5250.1,5256.4,9.272,1775831399999,48711.5571,1722,0.009,47.3625,0
1775831400000,5256.4,5260.0,5254.0,5255.5,9.005,1775832299999,47347.5436,1660,0,0,0
1775832300000,5255.5,5258.1,5244.5,5247.0,9.791,1775833199999,51405.7897,1881,0,0,0
1775833200000,5247.0,5247.6,5242.5,5246.2,9.594,1775834099999,50318.5027,1839,0,0,0
1775834100000,5246.2,5250.9,5242.8,5244.4,9.927,1775834999999,52081.3244,1810,0.042,220.2860,0
1775835000000,5244.4,5253.8,5242.1,5253.8,9.706,1775835899999,50923.4830,2020,0.543,2849.3390,0
1775835900000,5253.8,5254.3,5246.5,5251.0,8.518,1775836799999,44727.3160,1712,0.244,1281.2341,0
1775836800000,5249.8,5253.7,5247.6,5253.6,9.52,1775837699999,49992.7592,1985,0.884,4643.4046,0
1775837700000,5253.6,5254.2,5243.5,5250.5,9.697,1775838599999,50894.7546,1866,0.043,225.9151,0
1775838600000,5250.5,5255.1,5247.4,5254.8,9.797,1775839499999,51458.5576,2021,0.779,4093.5995,0
1775839500000,5254.8,5262.5,5251.0,5257.2,10.392,1775840399999,54610.8782,2052,0.837,4399.9882,0
1775840400000,5257.2,5259.9,5243.5,5252.0,9.718,1775841299999,51056.0068,1994,0.954,5011.4084,0
1775841300000,5252.0,5259.1,5250.3,5258.3,6.429,1775842199999,33792.3413,1496,1.970,10356.4429,0
1775842200000,5258.3,5258.6,5253.6,5258.3,6.0,1775843099999,31537.7425,1317,0.973,5114.8085,0
1775843100000,5258.3,5260.0,5254.9,5257.8,9.618,1775843999999,50570.9035,1983,0.694,3649.9887,0
1775844000000,5257.8,5257.9,5254.3,5256.7,9.722,1775844899999,51102.3356,1838,0,0,0
1775844900000,5256.7,5262.7,4988.5,5249.2,2375.149,1775845799999,12451936.8585,2256,22.954,120796.9420,0
1775845800000,5249.2,5250.6,5248.1,5248.5,195.926,1775846699999,1028427.2797,2319,129.520,679877.7488,0
1775846700000,5248.5,5250.0,5248.0,5248.9,9.815,1775847599999,51514.4614,1976,5.773,30300.2996,0
1775847600000,5248.9,5251.8,5243.5,5243.5,9.419,1775848499999,49424.1092,1946,1.559,8184.0424,0
1775848500000,5243.5,5251.8,5236.6,5236.6,13.084,1775849399999,68599.9436,2021,2.649,13912.0140,0
1775849400000,5236.6,5251.8,5234.1,5238.8,10.148,1775850299999,53147.8629,1885,0.047,246.8346,0
1775850300000,5238.8,5251.8,5235.7,5243.3,10.356,1775851199999,54263.8444,1850,0.002,10.5036,0
1775851200000,5242.9,5251.8,5234.1,5244.5,11.191,1775852099999,58685.7632,1828,1.953,10255.8741,0
1775852100000,5244.5,5251.8,5234.1,5247.1,14.28,1775852999999,74823.5262,1790,0.002,10.5036,0
1775853000000,5247.1,5254.8,5245.3,5254.7,10.183,1775853899999,53469.5225,2005,3.643,19134.6316,0
1775853900000,5254.7,5258.0,5252.1,5255.3,10.062,1775854799999,52884.0126,2350,4.586,24106.1906,0
1775854800000,5255.3,5259.0,5254.8,5256.4,23.85,1775855699999,125375.9296,2211,4.250,22345.8975,0
1775855700000,5256.4,5258.8,5256.4,5258.8,146.941,1775856599999,772602.3929,2025,141.445,743704.5463,0
1775856600000,5258.8,5259.0,5252.1,5254.8,415.695,1775857499999,2184682.5701,2024,3.202,16828.8341,0
1775857500000,5254.8,5259.5,5252.1,5255.5,7.51,1775858399999,39478.6766,1458,3.173,16681.7372,0
1775858400000,5255.5,5259.5,5252.1,5254.7,6.181,1775859299999,32491.0611,1132,0.002,10.5190,0
1775859300000,5254.7,5258.3,5250.1,5250.2,9.826,1775860199999,51611.2934,1990,0,0,0
1775860200000,5250.2,5259.6,5247.3,5254.2,10.001,1775861099999,52518.6282,1952,0.004,21.0384,0
1775861100000,5254.2,5259.6,5252.0,5253.5,10.315,1775861999999,54194.5884,1916,0.046,241.9416,0
1775862000000,5253.5,5253.7,5248.4,5252.8,10.079,1775862899999,52932.0611,2260,1.109,5825.2783,0
1775862900000,5252.8,5253.7,5248.9,5250.2,9.86,1775863799999,51767.6703,1893,0.002,10.5074,0
1775863800000,5250.2,5259.6,5249.4,5252.1,9.268,1775864699999,48685.0070,1788,0.002,10.5192,0
1775864700000,5252.1,5259.6,4990.0,4990.0,3705.756,1775865599999,18636756.9900,2235,3149.575,15716380.3284,0
1775865600000,4990.0,5280.0,4990.0,5251.6,9039.971,1775866499999,46910780.3422,3133,3732.837,18945627.4330,0
1775866500000,5251.6,5256.5,5251.4,5256.5,673.961,1775867399999,3540232.3076,2521,670.553,3522333.5191,0
1775867400000,5256.5,5260.0,5256.2,5259.9,124.661,1775868299999,655437.9604,1735,93.051,489196.4500,0
1775868300000,5259.9,5260.0,5258.4,5259.3,201.196,1775869199999,1058084.4160,1515,94.935,499255.6991,0
1775869200000,5259.3,5260.0,5257.3,5258.6,7.086,1775870099999,37266.2259,1521,2.911,15310.7424,0
1775870100000,5258.6,5266.5,5257.4,5266.5,9.393,1775870999999,49414.9875,1940,7.454,39216.4527,0
1775871000000,5266.5,5269.8,5257.2,5267.6,10.808,1775871899999,56934.8159,2153,8.525,44911.1613,0
1775871900000,5267.6,5269.7,5257.2,5265.5,10.132,1775872799999,53369.9797,1921,1.665,8772.8755,0
1775872800000,5265.5,5269.7,5257.2,5265.8,10.213,1775873699999,53790.6241,1905,0.052,273.9426,0
1775873700000,5265.8,5268.0,5256.5,5256.5,9.831,1775874599999,51740.3894,1902,0,0,0
1775874600000,5256.5,5269.7,5254.9,5254.9,10.203,1775875499999,53632.2063,1981,0.567,2987.9135,0
1775875500000,5254.9,5255.2,5250.0,5250.0,10.904,1775876399999,57275.6953,2173,0,0,0
1775876400000,5250.0,5269.7,5250.0,5252.4,10.084,1775877299999,52958.4098,2040,0.002,10.5394,0
1775877300000,5252.4,5252.4,5248.8,5251.1,9.979,1775878199999,52392.6466,2153,0.110,577.5061,0
1775878200000,5250.1,5269.7,5248.8,5252.6,9.647,1775879099999,50662.6020,1832,0.020,105.0614,0
1775879100000,5252.6,5269.7,5252.4,5264.7,8.976,1775879999999,47196.4703,1718,0.061,321.1821,0
1775880000000,5264.7,5269.7,5248.8,5263.8,9.543,1775880899999,50230.2177,1754,0.001,5.2697,0
1775880900000,5263.8,5263.8,5248.8,5261.3,10.538,1775881799999,55443.3738,1916,0,0,0
1775881800000,5261.3,5269.7,5248.8,5262.5,10.7,1775882699999,56313.7914,1932,0.004,21.0788,0
1775882700000,5262.5,5264.7,5260.5,5263.8,10.203,1775883599999,53698.2948,1993,0.371,1952.6454,0
1775883600000,5264.0,5271.8,5261.8,5271.7,92.11,1775884499999,485423.1031,2212,84.035,442905.3269,0
1775884500000,5271.7,5272.7,5269.6,5271.4,187.198,1775885399999,986849.5302,2083,80.464,424172.3300,0
1775885400000,5271.6,5271.6,5267.5,5269.2,271.521,1775886299999,1430941.6429,2133,1.922,10127.5913,0
1775886300000,5269.2,5269.8,5266.1,5267.7,10.091,1775887199999,53153.9532,2003,0.002,10.5396,0
1775887200000,5267.7,5274.2,5266.1,5272.8,9.405,1775888099999,49578.9699,1747,1.857,9789.8741,0
1775888100000,5272.8,5274.3,5266.1,5273.6,10.117,1775888999999,53333.7029,1852,0.002,10.5486,0
1775889000000,5273.6,5274.0,5269.7,5272.9,9.708,1775889899999,51182.2179,1754,0,0,0
1775889900000,5272.9,5274.3,5266.1,5266.1,10.156,1775890799999,53531.0498,1882,0.002,10.5486,0
1775890800000,5266.1,5270.2,5264.8,5264.8,10.201,1775891699999,53727.3536,2095,0.112,590.0303,0
1775891700000,5264.8,5274.3,5264.8,5265.1,11.048,1775892599999,58183.1968,2083,0.496,2615.4804,0
1775892600000,5265.1,5274.3,5264.6,5266.9,10.5,1775893499999,55294.8303,2345,0.099,521.4153,0
1775893500000,5266.9,5268.2,5264.1,5264.5,10.021,1775894399999,52771.2646,2105,0.218,1147.8192,0
1775894400000,5264.7,5274.3,5259.8,5260.6,10.012,1775895299999,52699.2839,2235,0.406,2138.2305,0
1775895300000,5260.6,5274.3,5258.6,5259.0,9.22,1775896199999,48503.0792,1734,0.002,10.5486,0
1775896200000,5259.0,5274.3,5255.9,5259.0,9.266,1775897099999,48723.7356,1863,0.004,21.0972,0
1775897100000,5259.0,5274.3,4996.8,5257.5,3025.032,1775897999999,15885764.9123,2221,1.003,5288.2965,0
1775898000000,5257.5,5260.6,5255.3,5257.9,9.692,1775898899999,50953.6806,1878,0.003,15.7812,0
1775898900000,5257.9,5274.3,5251.4,5253.3,9.015,1775899799999,47359.7025,1815,0.002,10.5349,0
1775899800000,5253.3,5274.3,5252.4,5256.8,9.8,1775900699999,51502.6081,1819,0.001,5.2743,0
1775900700000,5256.8,5274.3,5252.4,5259.9,10.903,1775901599999,57316.4975,1952,0.270,1420.0394,0
1775901600000,5259.9,5262.8,5255.4,5260.2,10.007,1775902499999,52625.4455,1982,0.354,1861.8478,0
1775902500000,5260.2,5264.9,5257.2,5264.4,10.319,1775903399999,54299.7420,2083,0.921,4847.6266,0
1775903400000,5264.4,5265.5,5259.9,5259.9,10.139,1775904299999,53357.5826,2080,0.075,394.8929,0
1775904300000,5259.9,5265.5,5259.7,5263.2,10.025,1775905199999,52753.1777,1917,0.001,5.2655,0
1775905200000,5263.2,5274.3,5261.5,5265.7,10.358,1775906099999,54525.5020,1977,0.001,5.2743,0
1775906100000,5265.7,5274.3,5264.5,5267.9,10.275,1775906999999,54110.0168,2034,0.002,10.5486,0
1775907000000,5267.9,5269.7,5266.1,5266.2,10.524,1775907899999,55447.1887,2160,0,0,0
1775907900000,5266.2,5274.3,5261.3,5262.6,10.414,1775908799999,54821.2334,1976,0.001,5.2743,0
1775908800000,5263.0,5274.3,5262.5,5268.5,9.674,1775909699999,50951.1601,1922,0.081,426.5737,0
1775909700000,5268.5,5274.3,5268.3,5272.5,9.767,1775910599999,51492.4156,1782,0.009,47.4687,0
1775910600000,5272.7,5274.4,5269.9,5271.9,24.536,1775911499999,129355.2990,2098,15.374,81052.0403,0
1775911500000,5271.9,5274.0,5270.7,5272.9,242.664,1775912399999,1279547.1801,2440,195.226,1029457.8960,0
1775912400000,5273.0,5273.5,5265.5,5266.7,325.296,1775913299999,1714737.7300,2348,34.102,179727.6846,0
1775913300000,5266.7,5271.3,5266.1,5266.8,10.141,1775914199999,53423.0886,1828,0.004,21.0852,0
1775914200000,5266.8,5271.3,5262.9,5265.3,20.809,1775915099999,109599.7312,1989,4.818,25396.8564,0
1775915100000,5265.3,5265.6,5256.5,5256.5,9.825,1775915999999,51679.8300,2124,0,0,0
1775916000000,5256.5,5271.3,5251.0,5251.0,10.223,1775916899999,53705.3171,1919,0.236,1244.0123,0
1775916900000,5251.0,5271.3,5250.1,5253.1,10.339,1775917799999,54304.4981,1894,0.002,10.5426,0
1775917800000,5252.5,5271.3,5250.1,5253.3,11.135,1775918699999,58493.0878,1886,0.002,10.5426,0
