open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,5244.5,5262.5,5244.5,5247.0,933.896,1775833199999,4906822.2160,7766,888.413,4667896.8828,0
1775833200000,5247.0,5254.3,5242.1,5251.0,37.745,1775836799999,198050.6261,7381,0.829,4350.8591,0
1775836800000,5249.8,5262.5,5243.5,5257.2,39.406,1775840399999,206956.9496,7924,2.543,13362.9074,0
1775840400000,5257.2,5260.0,5243.5,5257.8,31.765,1775843999999,166956.9941,6790,4.591,24132.6485,0
1775844000000,5257.8,5262.7,4988.5,5248.9,2590.612,1775847599999,13582980.9352,8389,158.247,830974.9904,0
1775847600000,5248.9,5251.8,5234.1,5243.3,43.007,1775851199999,225435.7601,7702,4.257,22353.3946,0
1775851200000,5242.9,5258.0,5234.1,5255.3,45.716,1775854799999,239862.8245,7973,10.184,53507.1999,0
1775854800000,5255.3,5259.5,5252.1,5255.5,593.996,1775858399999,3122139.5692,7718,152.070,799561.0151,0
1775858400000,5255.5,5259.6,5247.3,5253.5,36.323,1775861999999,190815.5711,6990,0.052,273.4990,0
1775862000000,5253.5,5259.6,4990.0,4990.0,3734.963,1775865599999,18790141.7284,8176,3150.688,15722226.6333,0
1775865600000,4990.0,5280.0,4990.0,5259.3,10039.789,1775869199999,52164535.0262,8904,4591.376,23456413.1012,0
1775869200000,5259.3,5269.8,5257.2,5265.5,37.419,1775872799999,196986.0090,7535,20.555,108211.2319,0
1775872800000,5265.5,5269.7,5250.0,5250.0,41.151,1775876399999,216438.9151,7961,0.619,3261.8561,0
1775876400000,5250.0,5269.7,5248.8,5264.7,38.686,1775879999999,203210.1287,7743,0.193,1014.2890,0
1775880000000,5264.7,5269.7,5248.8,5263.8,40.984,1775883599999,215685.6777,7595,0.376,1978.9939,0
1775883600000,5264.0,5272.7,5261.8,5267.7,560.92,1775887199999,2956368.2294,8431,166.423,877215.7878,0
1775887200000,5267.7,5274.3,5266.1,5266.1,39.386,1775890799999,207625.9405,7235,1.861,9810.9713,0
1775890800000,5266.1,5274.3,5264.1,5264.5,41.77,1775894399999,219976.6453,8628,0.925,4874.7452,0
1775894400000,5264.7,5274.3,4996.8,5257.5,3053.53,1775897999999,16035691.0110,8053,1.415,7458.1728,0
1775898000000,5257.5,5274.3,5251.4,5259.9,39.41,1775901599999,207132.4887,7464,0.276,1451.6298,0
