open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,72247.8,73070.5,72166.8,72771.7,92086.1139,1775833199999,6694959864.612890,22643,67794.8152,4923840235.538680,0
1775833200000,72750.1,73069.1,72407.2,72478.6,93603.3118,1775836799999,6814625706.027270,20953,48803.2278,3556683190.674370,0
1775836800000,72478.6,72909.0,72407.2,72898.1,75293.3329,1775840399999,5471674179.864710,19174,60712.9273,4412830247.837000,0
1775840400000,72898.0,73066.9,72776.3,73066.9,58480.8613,1775843999999,4262242354.040240,17469,33330.1463,2430332436.828390,0
1775844000000,73066.9,73067.3,72885.0,73007.9,55593.4706,1775847599999,4056721565.228850,17661,27492.8509,2006393313.542590,0
1775847600000,73007.9,73209.3,72900.0,73209.2,73630.1999,1775851199999,5376768359.661500,17620,45765.7155,3343108601.068260,0
1775851200000,73209.2,73372.3,73062.8,73310.4,71262.749,1775854799999,5215715102.898640,18308,36769.0299,2692400375.201290,0
1775854800000,73310.5,73314.3,72939.2,73124.1,61281.7667,1775858399999,4478505431.088150,16579,24030.7312,1756755186.442530,0
1775858400000,73124.1,73179.5,72826.5,72828.0,66389.3804,1775861999999,4847118133.987190,16154,11290.5156,826024348.137510,0
1775862000000,72826.6,72922.8,72763.0,72906.5,49777.4351,1775865599999,3624702709.457310,16650,15419.8772,1123420552.360600,0
1775865600000,72906.5,72906.6,72779.1,72792.4,38783.6944,1775869199999,2825184465.331860,15237,15939.4672,1161223819.379460,0
1775869200000,72789.5,72955.4,72672.7,72901.8,61443.5089,1775872799999,4473264408.166430,16861,36931.1194,2689494103.056950,0
1775872800000,72901.8,72989.3,72879.5,72917.9,62985.8093,1775876399999,4594223261.052940,16860,36994.8597,2698874329.185080,0
1775876400000,72917.9,73033.1,72810.2,72889.9,59074.6045,1775879999999,4308580694.078420,16626,29598.3762,2159786426.256170,0
1775880000000,72835.2,72913.6,72667.9,72764.9,55736.4041,1775883599999,4055526594.780860,16265,17076.7696,1242982547.702100,0
1775883600000,72764.9,72768.4,72664.1,72677.4,31783.1491,1775887199999,2311172855.269940,13752,16596.0560,1207055381.118710,0
1775887200000,72680.0,72689.0,72602.2,72689.0,42120.5093,1775890799999,3059738676.945010,14044,11741.9453,853184490.874240,0
1775890800000,72689.0,72768.4,72650.0,72672.9,31181.8773,1775894399999,2266948666.338010,15374,16635.8010,1209484225.812780,0
1775894400000,72672.9,72745.9,72627.4,72627.4,22561.124,1775897999999,1639726483.038600,13090,1477.1206,107415302.150460,0
1775898000000,72627.4,72868.5,72600.0,72868.5,57184.2819,1775901599999,4160389070.359980,15766,46678.6549,3396416942.378020,0
1775901600000,72866.7,72874.9,72750.0,72796.2,37936.2946,1775905199999,2761767477.068650,14006,12619.5628,918785754.075100,0
1775905200000,72796.2,72839.6,72782.8,72839.6,13438.7056,1775908799999,978614556.520990,11249,13147.0009,957381587.792460,0
1775908800000,72839.6,72914.3,72799.0,72903.3,49644.3429,1775912399999,3616736774.373530,16093,31456.6488,2292077770.596940,0
1775912400000,72903.3,72914.3,72581.7,72653.8,82353.7325,1775915999999,5986410886.457360,16852,12005.6914,872104932.516420,0
1775916000000,72653.8,72687.6,72572.4,72679.5,62806.2125,1775919599999,4561805834.427300,16429,36601.4203,2659185126.207380,0
1775919600000,72687.6,72801.7,72679.4,72790.6,31829.4272,1775923199999,2315384172.632040,13343,23001.2367,1673185454.470690,0
1775923200000,72789.3,73123.2,72787.3,73029.8,55817.1089,1775926799999,4071261730.390740,13119,54630.9330,3984803796.627210,0
1775926800000,73029.9,73110.5,72954.7,73036.0,36533.6274,1775930399999,2668088476.385570,14220,18455.3847,1348185697.273250,0
1775930400000,73036.0,73549.1,73008.2,73479.7,86694.2268,1775933999999,6348624051.951510,19088,69815.5564,5112596908.757460,0
1775934000000,73476.5,73649.8,73461.9,73595.4,51387.746,1775937599999,3780431453.670340,15807,35135.1101,2585015023.294680,0
1775937600000,73599.0,73600.0,73188.0,73270.5,74257.5844,1775941199999,5451980617.016940,14148,20780.0898,1524483764.253140,0
1775941200000,73277.5,73469.1,73262.4,73426.0,54316.3551,1775944799999,3985322082.728080,12475,41741.3678,3062942703.747660,0
1775944800000,73426.0,73485.0,73261.0,73333.4,63246.1015,1775948399999,4640872058.178950,16162,30477.3963,2237468637.508980,0
1775948400000,73333.4,73338.6,72954.6,73013.5,86385.5162,1775951999999,6315597412.088780,16486,11907.3754,870134234.340690,0
1775952000000,73006.8,73068.1,72899.8,73015.9,64519.9253,1775955599999,4708660964.094930,14944,30837.0518,2250949487.710330,0
1775955600000,73015.9,73073.0,71689.1,72600.0,140076.7504,1775959199999,10159098498.245070,25302,9059.2598,661600637.322320,0
1775959200000,72480.0,72635.0,71513.6,71745.1,75294.3269,1775962799999,5401124406.543700,16730,21653.5149,1555112604.650950,0
1775962800000,71745.1,71808.7,71601.4,71622.3,73348.7209,1775966399999,5257770813.243650,15009,22705.5229,1627777919.169200,0
1775966400000,71620.7,71628.9,71421.7,71449.4,71137.0544,1775969999999,5087805136.240650,15973,24638.8071,1762479581.834640,0
1775970000000,71449.5,71716.8,71421.3,71673.6,57823.8239,1775973599999,4138015173.450950,14015,48591.0247,3477866287.785980,0
1775973600000,71673.6,71694.7,71621.3,71629.2,42366.6091,1775977199999,3035412846.945120,13761,11140.8516,798408769.193820,0
1775977200000,71629.5,71663.4,71561.7,71663.3,46902.3471,1775980799999,3358516109.956140,14708,28192.3015,2019010214.313710,0
1775980800000,71663.4,71717.3,71570.1,71578.7,49468.3948,1775984399999,3544315508.596440,15983,24985.1576,1790839429.024620,0
1775984400000,71578.7,71587.9,71485.1,71499.5,53205.6777,1775987999999,3806894626.989370,14982,18980.2581,1358497696.170450,0
1775988000000,71498.8,71635.7,71402.6,71404.3,76656.994,1775991599999,5483077972.442080,16317,31611.0626,2262205971.176790,0
1775991600000,71402.7,71527.9,71391.6,71446.0,28370.9031,1775995199999,2026824884.243350,13769,11003.4333,786250027.802490,0
1775995200000,71446.0,71451.9,71101.1,71130.8,69986.0637,1775998799999,4993494473.816530,17571,32556.9885,2323191555.592120,0
1775998800000,71130.8,71145.8,70853.6,70861.5,72640.9914,1776002399999,5157228402.835840,18702,26863.0377,1907867413.289650,0
1776002400000,70858.3,71043.5,70684.7,70725.6,70726.287,1776005999999,5013501346.932530,17894,27426.9776,1944940998.447050,0
1776006000000,70725.6,70976.0,70666.0,70856.3,69017.4228,1776009599999,4884151404.454510,16599,32616.9023,2309411618.693360,0
1776009600000,70884.8,70912.7,70818.6,70854.1,57250.0263,1776013199999,4056672535.529580,16976,27668.7500,1961047383.710050,0
1776013200000,70854.1,71061.5,70826.0,71061.5,57885.4489,1776016799999,4107786055.476430,14058,54318.2572,3854812018.113910,0
1776016800000,71061.5,71141.0,71029.9,71069.8,52821.2718,1776020399999,3754171503.547450,16108,25229.5648,1793336802.084900,0
1776020400000,71069.8,71166.3,71051.0,71082.8,31444.1751,1776023999999,2235848450.791370,13980,22021.7383,1566104866.009510,0
