open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,72045.3,72062.6,72033.9,72051.8,2008.676,1775828879999,144738471.508390,633,1994.4491,143713520.901680,0
1775828880000,72051.8,72208.5,72051.1,72163.3,1167.8856,1775829059999,84195916.415350,760,1009.7719,72787177.582850,0
1775829060000,72163.3,72172.6,72109.1,72164.9,6511.6733,1775829239999,469729784.873200,1213,3465.7724,250013785.935210,0
1775829240000,72164.9,72220.9,72156.2,72194.1,2618.2213,1775829419999,189020221.627870,1145,2590.1727,186995918.638580,0
1775829420000,72194.2,72302.9,72166.8,72278.5,366.4601,1775829599999,26487039.015910,1024,307.9470,22263636.378670,0
1775829600000,72247.8,72349.9,72166.8,72345.0,11006.091,1775829779999,796014163.801610,1808,9866.5545,713612332.878340,0
1775829780000,72345.0,72351.7,72306.7,72306.7,685.9118,1775829959999,49624713.408510,692,646.8885,46802749.474680,0
1775829960000,72306.7,72359.6,72306.7,72359.6,3216.0352,1775830139999,232697591.503020,517,3199.9281,231532797.342990,0
1775830140000,72306.7,72419.3,72306.7,72419.3,8547.588,1775830319999,618642927.394850,1105,8527.3977,617181543.873600,0
1775830320000,72419.2,72524.4,72410.3,72524.4,8634.926,1775830499999,625860000.746920,1491,8577.0477,621668950.328440,0
1775830500000,72420.1,72756.6,72410.2,72410.2,2691.0912,1775830679999,195277061.815320,1427,2608.9108,189325128.915650,0
1775830680000,72751.0,72777.1,72410.2,72777.1,4535.9748,1775830859999,330054706.188080,1323,4480.1224,325997873.537250,0
1775830860000,72777.1,72904.0,72737.0,72904.0,13410.514,1775831039999,976920633.237410,2077,13316.5063,970081202.769130,0
1775831040000,72904.0,72938.2,72710.1,72921.1,1863.913,1775831219999,135867710.875810,1277,1647.5476,120129731.074910,0
1775831220000,72926.5,72939.7,72709.7,72800.8,208.5049,1775831399999,15194916.766980,1073,154.5578,11271218.923460,0
1775831400000,72800.8,73070.5,72703.1,73066.1,7585.9314,1775831579999,553830226.027430,1644,2627.2596,191724324.777040,0
1775831580000,73020.0,73070.5,73004.7,73012.0,2373.1825,1775831759999,173268897.435060,788,917.1496,66962282.093980,0
1775831760000,73012.0,73012.1,72988.5,72999.7,186.3486,1775831939999,13603899.351020,679,81.5568,5954524.757750,0
1775831940000,72999.7,73014.3,72988.5,73014.2,1589.531,1775832119999,116043247.570870,862,1441.2174,105217555.440770,0
1775832120000,73013.6,73014.2,72791.6,72839.7,12835.0487,1775832299999,936368680.018710,1625,12.2877,896949.895880,0
1775832300000,72823.4,73000.0,72791.6,72839.7,138.0658,1775832479999,10051316.303590,867,14.6477,1066961.050510,0
1775832480000,72791.7,73000.0,72750.6,72750.6,1460.428,1775832659999,106275736.395070,1099,9.4455,688263.275650,0
1775832660000,72750.7,72845.3,72750.6,72845.3,9712.0721,1775832839999,707101827.148850,1121,9574.4027,697076139.781200,0
1775832840000,72845.3,72847.2,72750.1,72750.2,1336.059,1775833019999,97249220.638760,819,76.5144,5567608.927050,0
1775833020000,72750.1,72771.8,72750.0,72771.7,68.8969,1775833199999,5012387.985020,349,14.8724,1082096.420400,0
1775833200000,72750.1,72870.6,72750.0,72868.5,11830.0948,1775833379999,861393446.110130,1102,11370.1304,827879069.023130,0
1775833380000,72868.6,72872.7,72866.7,72866.7,51.5445,1775833559999,3755965.217070,595,4.5335,330351.899060,0
1775833560000,72866.7,72903.6,72855.8,72900.0,1600.7676,1775833739999,116691452.025760,961,1559.3894,113676738.101970,0
1775833740000,72900.0,73064.2,72855.8,73064.1,12261.3211,1775833919999,895153611.388640,1570,12247.6064,894153126.681140,0
1775833920000,73058.8,73066.1,72992.4,73064.7,3363.8101,1775834099999,245766409.556970,936,803.0708,58677031.838020,0
1775834100000,72992.5,73066.2,72937.8,73066.1,892.9541,1775834279999,65170198.329560,979,104.5461,7637821.475240,0
