open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,0.09247,0.09292,0.09246,0.09286,14460659920.0,1775829599999,1341507946.869580,6147,10810164033,1002747890.678960,0
1775829600000,0.09285,0.09318,0.09278,0.09309,15450593549.0,1775830499999,1435645276.484710,7357,8799425131,817745769.491240,0
1775830500000,0.09309,0.0939,0.09306,0.09381,15572439369.0,1775831399999,1456175232.614590,5408,13639188104,1274753943.175760,0
1775831400000,0.09381,0.09417,0.09368,0.0938,17079690664.0,1775832299999,1605070058.559600,6689,11574010226,1087814582.566310,0
1775832300000,0.0938,0.09401,0.09372,0.09393,14878376215.0,1775833199999,1396227123.821600,5824,8176470515,767293335.163810,0
1775833200000,0.09393,0.09452,0.09392,0.09429,15692493469.0,1775834099999,1478912627.373230,6217,11365425595,1070877247.857090,0
1775834100000,0.09429,0.0943,0.09377,0.09379,14557396401.0,1775834999999,1368564263.734850,6493,5634596649,530032652.729580,0
1775835000000,0.09379,0.09388,0.09329,0.09352,13592506857.0,1775835899999,1272195210.244750,5287,4246499704,397484834.667300,0
1775835900000,0.09352,0.09355,0.09306,0.09321,15396762621.0,1775836799999,1436538090.402850,6024,5618169578,524022690.936450,0
1775836800000,0.09321,0.09388,0.0932,0.09381,17017670873.0,1775837699999,1592497056.585120,6926,15598651326,1459791914.341840,0
1775837700000,0.0938,0.09401,0.09367,0.09373,12399723547.0,1775838599999,1163244375.438690,5193,6350396069,595980570.984540,0
1775838600000,0.09373,0.09381,0.09356,0.09357,8468733217.0,1775839499999,793476290.526900,5014,2870703529,269119993.469780,0
1775839500000,0.09357,0.09397,0.09356,0.09393,12075535310.0,1775840399999,1132277907.866400,5987,11220491211,1052095006.703550,0
1775840400000,0.09393,0.09397,0.09374,0.0938,8342226771.0,1775841299999,782858404.778630,5131,3105307277,291474587.743070,0
1775841300000,0.0938,0.09389,0.09368,0.09368,6624224723.0,1775842199999,621255979.595620,3593,2750656051,258059791.306380,0
1775842200000,0.09368,0.09369,0.0934,0.09361,11192050720.0,1775843099999,1046708148.056530,4824,4186748770,391430651.814990,0
1775843100000,0.09361,0.09373,0.09359,0.0937,4457150303.0,1775843999999,417443866.895270,3475,3699711937,346507062.356490,0
1775844000000,0.0937,0.0938,0.09357,0.0938,8600029002.0,1775844899999,805517462.565630,5109,5510974161,516301842.347780,0
1775844900000,0.0938,0.09402,0.09374,0.09389,15102934264.0,1775845799999,1417769348.778860,6567,9186004874,862380044.264540,0
1775845800000,0.09389,0.09395,0.09383,0.09385,7091278324.0,1775846699999,665750537.682490,4359,3366148660,316087859.909490,0
1775846700000,0.09385,0.09415,0.09384,0.09411,8725199105.0,1775847599999,820153833.951320,4754,7875357979,740295079.741490,0
1775847600000,0.09411,0.09504,0.0941,0.09478,15557023424.0,1775848499999,1472375014.739450,6194,10558157475,998318525.392020,0
1775848500000,0.09475,0.09518,0.09472,0.09495,12849019215.0,1775849399999,1221266265.928570,5368,5575980028,529909444.666350,0
1775849400000,0.09495,0.09506,0.09477,0.09495,11161220983.0,1775850299999,1059462202.184650,5963,6390633490,606671075.713100,0
1775850300000,0.09495,0.09506,0.09465,0.09497,14670658763.0,1775851199999,1390998673.212340,6671,8406615740,797320949.784780,0
1775851200000,0.09497,0.09511,0.09481,0.09489,12311148150.0,1775852099999,1168831460.831230,5498,4898717808,465164415.791970,0
1775852100000,0.09489,0.09498,0.09465,0.09465,7748056740.0,1775852999999,734752904.609310,5286,2967411865,281524667.907810,0
1775853000000,0.09465,0.09475,0.09418,0.09422,14334024192.0,1775853899999,1354458690.344390,6085,2153327734,203930129.119560,0
1775853900000,0.09418,0.09464,0.09417,0.09454,13924799446.0,1775854799999,1314822426.928730,6658,9955149553,939800023.684060,0
1775854800000,0.09454,0.09463,0.09405,0.09421,13584152083.0,1775855699999,1281379703.440790,6779,4888335416,460891512.905600,0
1775855700000,0.09421,0.09425,0.09409,0.09424,5744811469.0,1775856599999,540854444.351140,3838,3016995345,284087282.749310,0
1775856600000,0.09424,0.09427,0.0941,0.0941,7660222034.0,1775857499999,721375758.125900,4227,1414656669,133261803.074990,0
1775857500000,0.09411,0.0943,0.09402,0.09427,6516628173.0,1775858399999,613421746.704790,3902,4410887699,415317864.094830,0
1775858400000,0.09427,0.09431,0.09412,0.09412,6289612280.0,1775859299999,592589386.558310,3397,1790296907,168744855.869010,0
1775859300000,0.09412,0.09418,0.09403,0.09403,10138221741.0,1775860199999,953863327.778220,5447,5235581581,492585796.772280,0
1775860200000,0.09403,0.09404,0.09368,0.0938,9368529689.0,1775861099999,878911202.286230,4927,1838345182,172403377.109010,0
