open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,0.09285,0.09417,0.09278,0.09393,62981099797.0,1775833199999,5893117691.480500,25278,42189093976,3947607630.397120,0
1775833200000,0.09393,0.09452,0.09306,0.09321,59239159348.0,1775836799999,5556210191.755680,24021,26864691526,2522417426.190420,0
1775836800000,0.09321,0.09401,0.0932,0.09393,49961662947.0,1775840399999,4681495630.417110,23120,36040242135,3376987485.499710,0
1775840400000,0.09393,0.09397,0.0934,0.0937,30615652517.0,1775843999999,2868266399.326050,17023,13742424035,1287472093.220930,0
1775844000000,0.0937,0.09415,0.09357,0.09411,39519440695.0,1775847599999,3709191182.978300,20789,25938485674,2435064826.263300,0
1775847600000,0.09411,0.09518,0.0941,0.09497,54237922385.0,1775851199999,5144102156.065010,24196,30931386733,2932219995.556250,0
1775851200000,0.09497,0.09511,0.09417,0.09454,48318028528.0,1775854799999,4572865482.713660,23527,19974606960,1890419236.503400,0
1775854800000,0.09454,0.09463,0.09402,0.09427,33505813759.0,1775858399999,3157031652.622620,18746,13730875129,1293558462.824730,0
1775858400000,0.09427,0.09431,0.09368,0.09385,29904968567.0,1775861999999,2810906985.796020,17434,11408293130,1072468770.438690,0
1775862000000,0.09385,0.09385,0.09352,0.09365,22105262720.0,1775865599999,2070441786.566170,17212,9117302178,853880152.859960,0
1775865600000,0.09365,0.09375,0.09346,0.09358,19222534109.0,1775869199999,1799559183.489520,13359,9348932134,875368943.977180,0
1775869200000,0.09358,0.0937,0.09323,0.09352,36529920175.0,1775872799999,3414419311.141160,20286,18251423630,1706177057.589790,0
1775872800000,0.09352,0.09396,0.09347,0.09361,29479156261.0,1775876399999,2761589785.270270,18346,16385130541,1535116202.946150,0
1775876400000,0.0936,0.09403,0.09358,0.09364,27368777176.0,1775879999999,2567622213.170150,17045,14299680397,1341618142.255800,0
1775880000000,0.09364,0.09378,0.09336,0.09352,28490620847.0,1775883599999,2664965331.227530,20043,14226476859,1331101915.882740,0
1775883600000,0.09351,0.09353,0.09279,0.09287,42158654756.0,1775887199999,3929865622.495330,23258,16027380803,1494542790.936470,0
1775887200000,0.09288,0.09288,0.09265,0.09273,23089103815.0,1775890799999,2141107777.713490,17851,12424834205,1152182712.021620,0
1775890800000,0.09273,0.09288,0.09268,0.09283,15017784908.0,1775894399999,1393354409.758450,15010,10703050336,993106004.183620,0
1775894400000,0.09282,0.09296,0.0927,0.09278,22347431309.0,1775897999999,2074501986.926100,16772,11784255466,1094035425.083180,0
1775898000000,0.09278,0.09296,0.09263,0.09287,30243088338.0,1775901599999,2806340514.946040,18254,17185307138,1594824899.146850,0
