open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,0.4403,0.4419,0.4312,0.432,3330275.4,1775833199999,1453985.7870900,8603,98547.6,43000.9338900,0
1775833200000,0.432,0.432,0.4296,0.4297,3362981.1,1775836799999,1447105.7198600,8560,65102.4,28000.7682300,0
1775836800000,0.4378,0.4489,0.4376,0.4471,3603696.1,1775840399999,1605746.9210700,9238,109927.0,49001.2099300,0
1775840400000,0.447,0.4481,0.4466,0.4477,2535921.7,1775843999999,1134602.3874700,7526,44699.0,20000.5460000,0
1775844000000,0.4477,0.4652,0.4421,0.4529,3309573.5,1775847599999,1481600.5722300,9166,87532.2,39011.5206600,0
1775847600000,0.4529,0.4705,0.4497,0.465,3295146.1,1775851199999,1512585.3232000,9217,76194.8,35000.6660800,0
1775851200000,0.465,0.4662,0.4553,0.4593,3385535.3,1775854799999,1554324.8456200,9240,74235.2,34005.6861700,0
1775854800000,0.4593,0.478,0.4591,0.4697,2483673.9,1775858399999,1157006.3335300,8185,70606.9,33000.6745600,0
1775858400000,0.4697,0.4751,0.4639,0.4657,2986744.5,1775861999999,1401361.1428700,8514,81142.5,38000.9049600,0
1775862000000,0.4657,0.4657,0.4545,0.4546,3263659.2,1775865599999,1495304.7934500,9201,61101.5,28000.5911200,0
1775865600000,0.4631,0.4631,0.4572,0.4582,2379967.4,1775869199999,1096987.8281300,7794,41219.7,19000.4905700,0
1775869200000,0.4582,0.4582,0.4534,0.4534,3191176.2,1775872799999,1451044.3538300,8614,66014.3,30000.5284400,0
1775872800000,0.4534,0.4534,0.447,0.4478,3361980.5,1775876399999,1515547.0112500,9259,68837.8,31000.9051400,0
1775876400000,0.4477,0.4502,0.4476,0.4499,3364608.5,1775879999999,1512542.0229000,9044,131212.2,59001.5929300,0
1775880000000,0.4499,0.4499,0.4464,0.4484,3376703.7,1775883599999,1513656.6692200,9613,109296.4,49001.2335700,0
1775883600000,0.4483,0.4519,0.448,0.451,3377287.4,1775887199999,1518751.6939000,9146,102322.7,46006.1838900,0
1775887200000,0.451,0.4512,0.4492,0.4492,3430293.3,1775890799999,1544760.3050400,9159,104414.1,47006.4982900,0
1775890800000,0.4492,0.4523,0.4484,0.452,3350594.6,1775894399999,1507107.0326900,9588,106631.5,48000.9062000,0
