open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,0.4405,0.4405,0.4404,0.4404,293317.7,1775828999999,129204.5592500,744,18161.6,8000.1848000,0
1775829000000,0.4404,0.4404,0.4403,0.4404,289166.8,1775829299999,127349.0281700,770,2270.7,1000.0162800,0
1775829300000,0.4404,0.4404,0.4402,0.4403,298297.5,1775829599999,131344.0757200,783,4542.4,2000.0187200,0
1775829600000,0.4403,0.4403,0.4401,0.4402,288923.7,1775829899999,127193.0285300,770,18173.1,8000.0257400,0
1775829900000,0.4402,0.4402,0.44,0.4401,302503.6,1775830199999,133145.7597300,737,2271.7,1000.0023400,0
1775830200000,0.4401,0.4419,0.44,0.4419,302477.0,1775830499999,133230.4621700,758,9089.2,4000.1569200,0
1775830500000,0.4419,0.4419,0.4418,0.4418,283605.9,1775830799999,125318.4142400,727,4526.0,2000.0394000,0
1775830800000,0.4418,0.4418,0.436,0.4374,258625.1,1775831099999,113214.5370000,692,4571.6,2000.0750000,0
1775831100000,0.4374,0.4374,0.4358,0.4358,281291.4,1775831399999,122778.5323400,643,16059.4,7000.2924600,0
1775831400000,0.4358,0.4358,0.4351,0.4351,171083.8,1775831699999,74469.9225400,564,4595.6,2000.0051200,0
1775831700000,0.4351,0.4351,0.4338,0.4343,232239.1,1775831999999,100905.1505400,745,4604.2,2000.0644800,0
1775832000000,0.4343,0.4343,0.4342,0.4342,294836.6,1775832299999,128044.1918200,723,6907.8,3000.0575400,0
1775832300000,0.4342,0.4342,0.4312,0.4322,265788.0,1775832599999,115316.9896800,727,11547.7,5000.0961400,0
1775832600000,0.4322,0.4322,0.432,0.4321,335930.8,1775832899999,145157.0950700,768,6942.9,3000.0270900,0
1775832900000,0.4321,0.4321,0.4319,0.432,312970.4,1775833199999,135211.7034300,749,9258.4,4000.0916600,0
1775833200000,0.432,0.432,0.4306,0.4306,280935.3,1775833499999,121184.1944700,717,0,0,0
1775833500000,0.4306,0.4306,0.4305,0.4306,313916.1,1775833799999,135172.2410300,750,2322.4,1000.0254400,0
1775833800000,0.4306,0.4306,0.4304,0.4305,304606.1,1775834099999,131134.3476600,736,4645.8,2000.0169000,0
1775834100000,0.4305,0.4305,0.4303,0.4304,290794.3,1775834399999,125165.4728700,731,0,0,0
1775834400000,0.4304,0.4304,0.4302,0.4303,295591.2,1775834699999,127206.2289500,740,2323.5,1000.0344000,0
1775834700000,0.4303,0.4303,0.4301,0.4302,309946.8,1775834999999,133358.6477300,743,2324.6,1000.0429200,0
1775835000000,0.4302,0.4302,0.4301,0.4301,319038.6,1775835299999,137244.6636400,756,16272.2,7000.3004400,0
1775835300000,0.4301,0.4301,0.43,0.4301,304977.5,1775835599999,131170.7922300,740,6975.3,3000.0765300,0
1775835600000,0.4301,0.4301,0.4299,0.43,304912.5,1775835899999,131112.8169300,725,6976.8,3000.0240000,0
1775835900000,0.43,0.43,0.4298,0.4299,262538.3,1775836199999,112870.9097000,661,9303.6,4000.0827600,0
1775836200000,0.4299,0.4299,0.4297,0.4298,192926.8,1775836499999,82928.5977200,655,13958.2,6000.1648400,0
1775836500000,0.4298,0.4298,0.4296,0.4297,182797.6,1775836799999,78556.8069300,606,0,0,0
1775836800000,0.4378,0.4378,0.4376,0.4377,271786.0,1775837099999,118966.8098300,699,11422.5,5000.0850900,0
1775837100000,0.4377,0.4417,0.4376,0.4417,320245.9,1775837399999,141246.3011700,759,2264.0,1000.0088000,0
1775837400000,0.4417,0.4462,0.4415,0.4455,310282.0,1775837699999,137299.5233700,777,6793.5,3000.0096000,0
1775837700000,0.4455,0.4482,0.4454,0.447,303400.2,1775837999999,135438.5241400,792,6726.6,3000.0561000,0
1775838000000,0.447,0.4489,0.4468,0.4477,302454.7,1775838299999,135216.9219700,763,8950.8,4000.1125200,0
1775838300000,0.4477,0.4477,0.4476,0.4476,302075.3,1775838599999,135232.6943300,757,6701.1,3000.0824700,0
1775838600000,0.4476,0.4476,0.4475,0.4475,280003.8,1775838899999,125329.2134000,771,4468.4,2000.0558400,0
1775838900000,0.4475,0.4475,0.4474,0.4475,316090.0,1775839199999,141450.2461800,805,6704.1,3000.0847500,0
1775839200000,0.4475,0.4475,0.4473,0.4474,306929.7,1775839499999,137324.0116300,785,13411.2,6000.1708800,0
1775839500000,0.4474,0.4474,0.4472,0.4473,298150.4,1775839799999,133371.8140500,788,11178.5,5000.1430500,0
1775839800000,0.4473,0.4473,0.4471,0.4472,311966.0,1775840099999,139525.8753900,776,11180.0,5000.1431400,0
1775840100000,0.4472,0.4472,0.447,0.4471,280312.1,1775840399999,125344.9856100,766,20126.3,9000.2576900,0
1775840400000,0.447,0.4471,0.447,0.447,289318.4,1775840699999,129347.8084600,789,8946.8,4000.1142800,0
1775840700000,0.447,0.447,0.4469,0.4469,288854.2,1775840999999,129116.4381400,731,6711.6,3000.0852000,0
1775841000000,0.4469,0.4469,0.4468,0.4469,167455.6,1775841299999,74835.8971400,616,2237.7,1000.0281300,0
1775841300000,0.4469,0.447,0.4468,0.4469,107590.7,1775841599999,48082.7383000,453,0,0,0
1775841600000,0.4469,0.4469,0.4467,0.4468,153236.6,1775841899999,68473.9122300,549,4475.9,2000.0558900,0
1775841900000,0.4468,0.4468,0.4466,0.4467,134759.1,1775842199999,60206.5513600,560,0,0,0
1775842200000,0.4467,0.4481,0.4466,0.4481,144473.7,1775842499999,64592.6199600,576,4463.4,2000.0495400,0
1775842500000,0.4481,0.4481,0.448,0.448,156621.2,1775842799999,70180.0257400,486,0,0,0
1775842800000,0.448,0.448,0.4479,0.4479,200732.6,1775843099999,89926.3779300,454,2232.2,1000.0256000,0
1775843100000,0.4479,0.4479,0.4478,0.4479,292503.9,1775843399999,131012.4749800,714,6698.1,3000.0789900,0
1775843400000,0.4479,0.4479,0.4477,0.4478,302284.7,1775843699999,135365.3518200,786,2233.2,1000.0269600,0
1775843700000,0.4478,0.4478,0.4476,0.4477,298091.0,1775843999999,133462.1914100,812,6700.1,3000.0814100,0
1775844000000,0.4477,0.4477,0.4475,0.4476,293442.4,1775844299999,131356.6999500,777,2234.2,1000.0279200,0
1775844300000,0.4476,0.4476,0.4422,0.4423,310054.5,1775844599999,138009.1780500,796,2261.0,1000.0403000,0
