open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,0.51355,0.54078,0.48729,0.49217,683117794.5,1775833199999,350573830.70398700,18351,268872564.0,138870576.16270600,0
1775833200000,0.49217,0.53643,0.48477,0.52246,601995306.7,1775836799999,306893283.80773300,17111,411064053.3,209646715.67560100,0
1775836800000,0.52246,0.53811,0.51907,0.52409,396229581.8,1775840399999,209110735.63490600,15294,198310068.4,105012986.19480600,0
1775840400000,0.52425,0.52827,0.50456,0.50804,265547279.4,1775843999999,137458416.51269700,12022,80071083.9,41790450.13553800,0
1775844000000,0.50804,0.50954,0.48961,0.50107,501969836.9,1775847599999,251384695.23269600,17711,218256210.2,109785857.20033000,0
1775847600000,0.50103,0.5046,0.48546,0.5033,228904367.4,1775851199999,112969992.05537900,13693,132309670.5,65424609.33130000,0
1775851200000,0.50332,0.51399,0.50006,0.5115,114859450.3,1775854799999,58314833.77276900,11433,83815982.4,42580189.16359900,0
1775854800000,0.5115,0.52124,0.50555,0.50798,206183108.6,1775858399999,105787192.21656900,12010,122172127.2,62845378.29097200,0
1775858400000,0.50817,0.53037,0.50798,0.51346,211450659.8,1775861999999,109919573.38245600,12689,133783464.4,69603332.73117100,0
1775862000000,0.51347,0.51383,0.50172,0.50547,114179363.4,1775865599999,58078239.15322100,11100,21382943.6,10929635.19727000,0
1775865600000,0.50575,0.52654,0.50415,0.52047,198681662.5,1775869199999,102280478.32838000,12470,164940656.3,84851447.53600900,0
1775869200000,0.52047,0.55888,0.51988,0.54383,329291087.8,1775872799999,178116923.99397900,15122,213262778.8,114791351.92737400,0
1775872800000,0.54383,0.55805,0.52104,0.54707,485239427.1,1775876399999,261672199.51468800,17363,291569476.0,157874893.39601700,0
1775876400000,0.54712,0.5473,0.51277,0.53108,416781060.7,1775879999999,219104300.05612400,16916,174732008.5,91552020.18272800,0
1775880000000,0.53108,0.53221,0.49616,0.51331,325614125.3,1775883599999,165360902.29665500,15220,118660485.4,59864142.57482700,0
1775883600000,0.51331,0.52046,0.50163,0.50214,230927406.4,1775887199999,118593451.01119300,13147,109707359.5,56604728.93756700,0
1775887200000,0.50214,0.53242,0.49535,0.53242,293001071.7,1775890799999,150540237.09796800,14017,211123413.1,108692033.23270200,0
1775890800000,0.53234,0.54125,0.52561,0.53293,199752326.9,1775894399999,106176254.55633500,13619,103621696.7,55056049.86260300,0
1775894400000,0.53338,0.53823,0.51826,0.51826,115533581.6,1775897999999,61120385.49570400,10906,29875113.1,16047690.74791600,0
1775898000000,0.51824,0.52565,0.51148,0.51648,247418895.8,1775901599999,127913326.73171200,12461,137684405.2,71294999.71545500,0
1775901600000,0.51648,0.52866,0.5116,0.51513,188489268.1,1775905199999,97802607.34903800,13341,110369057.6,57367916.23461100,0
1775905200000,0.51517,0.52929,0.51019,0.52824,100722219.3,1775908799999,52355784.80167200,11980,88966845.7,46328577.46381100,0
1775908800000,0.5288,0.53145,0.50624,0.50834,185132929.5,1775912399999,96299121.89943200,12739,44257109.2,23361458.80808000,0
1775912400000,0.50834,0.5131,0.50465,0.50978,81655862.6,1775915999999,41573462.67547700,10715,43777522.4,22326750.15227300,0
1775916000000,0.50978,0.51988,0.49924,0.49924,323699003.5,1775919599999,165118370.39541300,16438,121936606.9,62428148.33623300,0
1775919600000,0.49924,0.50051,0.46347,0.46431,393265882.3,1775923199999,189319830.56861700,15068,72735980.1,35266148.14319800,0
1775923200000,0.46431,0.50548,0.45281,0.49821,743170938.6,1775926799999,350122612.98547700,16485,470898344.3,223182905.58704900,0
1775926800000,0.49821,0.50106,0.45186,0.45719,810334582.5,1775930399999,381168214.73056400,21230,245795111.5,115657996.66666100,0
1775930400000,0.45719,0.48473,0.45627,0.47161,344909698.5,1775933999999,163048567.39477700,13125,207583816.6,97790407.85177100,0
1775934000000,0.47163,0.48172,0.45441,0.45526,223990371.0,1775937599999,105093841.91241400,14603,60537726.8,28825940.13981800,0
1775937600000,0.45518,0.46165,0.43936,0.4397,242668921.9,1775941199999,109415653.76759700,11614,63689812.3,29067791.58494300,0
1775941200000,0.4397,0.45517,0.43493,0.45421,351329329.2,1775944799999,156634175.48876900,12730,252530757.8,112916565.85088000,0
1775944800000,0.45421,0.46266,0.43512,0.44168,359358080.4,1775948399999,161518539.52280600,15800,179541320.3,81077360.48613500,0
1775948400000,0.44168,0.44232,0.42668,0.42734,160627532.1,1775951999999,69756116.88077500,12122,40024741.8,17517675.86209800,0
1775952000000,0.42758,0.45282,0.42734,0.43387,377723149.8,1775955599999,166653875.94050900,14156,215038209.0,95003122.56856700,0
1775955600000,0.43387,0.44146,0.42291,0.43117,437089741.0,1775959199999,188720823.11557700,13569,224212681.2,97154842.33878300,0
1775959200000,0.43092,0.43261,0.4205,0.43116,261614904.7,1775962799999,111766765.77314600,12600,142233311.5,60874768.19699600,0
1775962800000,0.43116,0.44311,0.42805,0.44212,203944194.3,1775966399999,88587335.57681700,12299,154070402.9,67118879.29653100,0
1775966400000,0.44204,0.45583,0.43862,0.4521,262095929.7,1775969999999,116994002.41129700,12529,184718158.0,82544227.78257200,0
1775970000000,0.4521,0.45527,0.43788,0.43788,156272689.0,1775973599999,69555130.40683100,11559,56280316.3,25126646.93180300,0
1775973600000,0.43787,0.48192,0.43276,0.47642,415859543.3,1775977199999,190151926.87503500,14736,306156588.6,140003041.79905900,0
1775977200000,0.47642,0.50472,0.47472,0.49141,535895457.9,1775980799999,263705646.11873700,17511,338922924.9,166503272.21967500,0
1775980800000,0.49117,0.49364,0.4774,0.47988,222970520.8,1775984399999,108257793.92797600,12297,118086511.8,57518649.66491000,0
1775984400000,0.47988,0.48862,0.47423,0.48643,206067733.8,1775987999999,99181474.48593800,12648,100136630.5,48348306.85044500,0
1775988000000,0.48643,0.50199,0.48566,0.49368,137068149.2,1775991599999,68012561.33764100,10445,82734353.9,41074342.90922400,0
1775991600000,0.49368,0.49565,0.48415,0.48552,187660359.5,1775995199999,92158149.41356100,12138,77989860.2,38464695.14260400,0
1775995200000,0.48553,0.48561,0.47044,0.47731,162270556.9,1775998799999,77542585.35736500,10939,33567409.8,16004076.00609200,0
1775998800000,0.47731,0.48222,0.46226,0.46759,179840996.1,1776002399999,84873837.83719800,12285,74750464.8,35455950.52785100,0
