open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,1.223,1.226,1.221,1.224,7414.69,1775829599999,9070.90882000,2349,4688.83,5737.75922000,0
1775829600000,1.223,1.231,1.218,1.224,4864566.09,1775830499999,5961308.28775000,2413,4860711.96,5956588.00957000,0
1775830500000,1.224,1.231,1.224,1.23,10567.16,1775831399999,12978.83577000,1738,399.02,491.19362000,0
1775831400000,1.23,1.235,1.23,1.23,10924844.69,1775832299999,13463178.91783000,2638,4804557.96,5919639.14423000,0
1775832300000,1.23,1.235,1.227,1.233,3717755.48,1775833199999,4568945.65679000,2126,6913.13,8508.54047000,0
1775833200000,1.233,1.234,1.226,1.23,489389.28,1775834099999,600974.77960000,2210,2003.63,2464.38281000,0
1775834100000,1.23,1.231,1.223,1.231,10737524.11,1775834999999,13171494.79394000,2763,5049193.44,6198847.07766000,0
1775835000000,1.231,1.232,1.225,1.227,7128715.81,1775835899999,8754454.04036000,2854,483199.22,594815.54793000,0
1775835900000,1.227,1.231,1.22,1.221,3012083.78,1775836799999,3677769.96594000,1835,2406246.95,2938027.75118000,0
1775836800000,1.221,1.226,1.221,1.225,6196879.69,1775837699999,7578989.71361000,2450,6191698.27,7572648.61895000,0
1775837700000,1.225,1.226,1.219,1.221,7498.72,1775838599999,9160.77757000,2356,135.66,166.22021000,0
1775838600000,1.221,1.222,1.217,1.217,7589.88,1775839499999,9257.30930000,1924,0,0,0
1775839500000,1.217,1.219,1.217,1.218,7615.42,1775840399999,9273.80296000,1963,0,0,0
1775840400000,1.218,1.218,1.206,1.207,6925119.22,1775841299999,8387149.60399000,2887,1036622.71,1251205.42619000,0
1775841300000,1.207,1.21,1.207,1.208,6439691.24,1775842199999,7785311.84566000,2101,4016389.10,4855540.94217000,0
1775842200000,1.208,1.208,1.201,1.203,8298231.38,1775843099999,9990705.91631000,2316,1217.78,1466.01577000,0
1775843100000,1.203,1.205,1.197,1.204,9041012.04,1775843999999,10849169.67526000,3130,3882993.08,4664517.72464000,0
1775844000000,1.205,1.208,1.205,1.205,5461655.34,1775844899999,6587665.43854000,2389,2456327.81,2962320.63583000,0
1775844900000,1.205,1.209,1.205,1.209,5162480.99,1775845799999,6227088.67677000,2405,3060298.64,3690725.90911000,0
1775845800000,1.209,1.21,1.206,1.208,2580758.53,1775846699999,3115607.76686000,2344,2576045.47,3109914.56198000,0
1775846700000,1.208,1.21,1.207,1.209,7289.85,1775847599999,8810.86383000,1894,0,0,0
1775847600000,1.209,1.221,1.209,1.217,8569906.57,1775848499999,10399616.84527000,2394,8564342.71,10392850.28866000,0
1775848500000,1.217,1.217,1.212,1.215,7598.09,1775849399999,9228.83037000,1858,0,0,0
1775849400000,1.215,1.218,1.211,1.218,11414.51,1775850299999,13860.50208000,1922,0,0,0
1775850300000,1.218,1.218,1.216,1.217,7636.39,1775851199999,9294.65095000,1885,0,0,0
1775851200000,1.217,1.221,1.212,1.212,7233.2,1775852099999,8779.56700000,2043,106.74,130.32954000,0
1775852100000,1.212,1.213,1.208,1.21,6225135.86,1775852999999,7529515.99469000,2561,2902574.24,3509214.41941000,0
1775853000000,1.21,1.21,1.206,1.209,5610385.66,1775853899999,6782117.24646000,2646,1334569.42,1614822.23979000,0
1775853900000,1.209,1.216,1.208,1.215,27520.67,1775854799999,33368.73021000,2695,26184.89,31750.93656000,0
1775854800000,1.215,1.215,1.207,1.208,7724.19,1775855699999,9359.60552000,2371,0,0,0
1775855700000,1.208,1.213,1.207,1.211,7137.07,1775856599999,8629.46951000,1719,0,0,0
1775856600000,1.211,1.216,1.211,1.215,6266.54,1775857499999,7606.06820000,1520,116.40,141.54240000,0
1775857500000,1.215,1.222,1.214,1.221,3041020.31,1775858399999,3706232.86597000,2212,2150422.08,2618814.27683000,0
1775858400000,1.222,1.222,1.219,1.219,1858133.59,1775859299999,2267493.80146000,1684,1853.61,2264.13304000,0
1775859300000,1.219,1.22,1.215,1.217,3539779.24,1775860199999,4309659.36569000,2490,4643.54,5650.64155000,0
1775860200000,1.217,1.217,1.211,1.211,3914539.09,1775861099999,4751762.51716000,2414,4895.49,5947.20174000,0
1775861100000,1.211,1.212,1.209,1.209,2373283.41,1775861999999,2873475.19749000,2437,1624.80,1968.04064000,0
1775862000000,1.209,1.209,1.203,1.206,4941700.93,1775862899999,5958859.57788000,2713,4619.45,5569.23029000,0
1775862900000,1.206,1.207,1.203,1.205,7574.68,1775863799999,9129.66080000,2064,5282.41,6367.77456000,0
1775863800000,1.205,1.206,1.204,1.204,6954.84,1775864699999,8380.49987000,1867,4254.69,5128.09362000,0
1775864700000,1.204,1.205,1.203,1.204,3520582.33,1775865599999,4237919.47950000,2392,256408.27,308715.93028000,0
1775865600000,1.204,1.206,1.198,1.198,1114108.46,1775866499999,1341398.67920000,2125,1106906.08,1332748.77147000,0
1775866500000,1.198,1.199,1.193,1.195,3730430.19,1775867399999,4461925.29745000,2384,3382.52,4043.64633000,0
1775867400000,1.195,1.195,1.189,1.19,3835623.72,1775868299999,4566390.97835000,2151,2698.25,3220.32976000,0
1775868300000,1.19,1.19,1.179,1.179,7698634.63,1775869199999,9115695.56057000,1986,3509.35,4171.06078000,0
1775869200000,1.179,1.185,1.179,1.182,5247.04,1775870099999,6203.96475000,1323,3439.75,4067.88848000,0
1775870100000,1.182,1.182,1.174,1.175,9843048.23,1775870999999,11579709.20491000,2665,1229381.96,1444528.01755000,0
1775871000000,1.175,1.179,1.175,1.179,3385727.93,1775871899999,3985535.64838000,2614,3381164.43,3980163.37944000,0
1775871900000,1.178,1.188,1.178,1.184,12929053.63,1775872799999,15299557.56116000,3212,8618435.40,10190748.86487000,0
1775872800000,1.184,1.188,1.183,1.186,3101555.6,1775873699999,3673575.13896000,2359,3095866.11,3666835.37588000,0
1775873700000,1.186,1.19,1.185,1.189,3235204.8,1775874599999,3847966.12500000,2168,3229982.66,3841762.44054000,0
1775874600000,1.189,1.192,1.189,1.19,886630.86,1775875499999,1055092.89630000,2015,880336.10,1047601.54222000,0
1775875500000,1.19,1.19,1.185,1.187,7940.31,1775876399999,9428.99924000,2048,0,0,0
1775876400000,1.187,1.192,1.183,1.189,9138.96,1775877299999,10835.83288000,1954,169.34,201.85328000,0
1775877300000,1.189,1.189,1.187,1.187,7819.55,1775878199999,9282.73768000,1837,0,0,0
1775878200000,1.187,1.187,1.184,1.186,7314.25,1775879099999,8671.81598000,1832,0,0,0
1775879100000,1.186,1.188,1.179,1.182,8405539.61,1775879999999,9924433.48942000,2139,4186870.62,4942518.00845000,0
1775880000000,1.182,1.184,1.179,1.179,308141.76,1775880899999,363821.51378000,2120,286.99,339.46996000,0
1775880900000,1.179,1.184,1.178,1.182,4445352.29,1775881799999,5249370.31217000,2530,2638675.41,3116725.10519000,0
1775881800000,1.182,1.185,1.177,1.18,3259315.31,1775882699999,3841726.36899000,2716,4972.57,5883.71193000,0
1775882700000,1.18,1.181,1.178,1.178,7947.92,1775883599999,9375.34369000,2541,5073.55,5987.15420000,0
1775883600000,1.178,1.178,1.172,1.173,3575312.4,1775884499999,4208169.92963000,2206,359036.58,422942.54180000,0
1775884500000,1.173,1.177,1.168,1.177,4419686.32,1775885399999,5176855.24001000,2148,347978.45,409086.62878000,0
1775885400000,1.177,1.183,1.177,1.181,8189709.31,1775886299999,9679182.98540000,2833,3598318.30,4252159.81362000,0
1775886300000,1.181,1.183,1.18,1.18,22626.9,1775887199999,26725.81018000,2331,3675.48,4344.98500000,0
1775887200000,1.18,1.18,1.175,1.175,6237981.54,1775888099999,7344533.21769000,2455,3740210.44,4402229.57334000,0
1775888100000,1.175,1.182,1.175,1.182,1826159.43,1775888999999,2155189.28006000,2057,1818649.00,2146349.39915000,0
1775889000000,1.182,1.189,1.182,1.189,5951278.52,1775889899999,7053854.33620000,2716,2536212.67,3003586.54177000,0
1775889900000,1.189,1.195,1.187,1.195,4625488.81,1775890799999,5516596.20075000,2306,4622488.41,5513033.61895000,0
1775890800000,1.195,1.195,1.183,1.186,9246137.33,1775891699999,10955508.21745000,2705,3567329.42,4229166.35599000,0
1775891700000,1.186,1.188,1.182,1.188,7167293.32,1775892599999,8497667.58985000,2655,3136430.40,3725243.44014000,0
1775892600000,1.188,1.192,1.187,1.192,6011024.6,1775893499999,7147146.51070000,2927,4588737.87,5454626.89499000,0
1775893500000,1.192,1.192,1.187,1.188,1211939.67,1775894399999,1439806.27642000,2215,3555.92,4228.86112000,0
1775894400000,1.187,1.193,1.187,1.193,5332374.52,1775895299999,6342024.50352000,2628,4596680.23,5468656.29260000,0
1775895300000,1.193,1.193,1.19,1.191,1290562.56,1775896199999,1537070.87098000,2056,4967.38,5920.82398000,0
1775896200000,1.191,1.194,1.19,1.194,3431885.57,1775897099999,4090409.63983000,2222,3428879.53,4086829.52760000,0
1775897100000,1.194,1.194,1.191,1.192,7442.8,1775897999999,8871.10073000,2203,1850.50,2206.03332000,0
1775898000000,1.192,1.2,1.191,1.196,5041139.33,1775898899999,6026078.45484000,2533,5031743.50,6014832.14819000,0
1775898900000,1.196,1.2,1.194,1.194,7087.76,1775899799999,8470.16367000,2079,33.92,40.70400000,0
1775899800000,1.193,1.193,1.187,1.189,3276371.02,1775900699999,3895010.32967000,2264,2558.99,3044.20981000,0
1775900700000,1.189,1.196,1.189,1.196,258292.47,1775901599999,307989.40342000,2403,255075.62,304149.36326000,0
1775901600000,1.196,1.197,1.19,1.194,412698.53,1775902499999,493579.69750000,2554,407565.30,487449.12517000,0
1775902500000,1.194,1.196,1.193,1.195,8743.37,1775903399999,10444.75492000,2024,0,0,0
1775903400000,1.195,1.197,1.194,1.194,7820.31,1775904299999,9348.36878000,2260,853.14,1021.20858000,0
1775904300000,1.194,1.198,1.194,1.198,1355795.35,1775905199999,1624223.32764000,2017,1348707.28,1615751.01291000,0
1775905200000,1.198,1.2,1.196,1.2,3682901.15,1775906099999,4406987.37579000,2484,260437.68,311788.99692000,0
1775906100000,1.2,1.202,1.195,1.202,18505.46,1775906999999,22228.53162000,2410,15626.76,18775.03867000,0
1775907000000,1.202,1.211,1.201,1.206,6523598.35,1775907899999,7856595.49162000,2701,6163065.29,7422066.81957000,0
1775907900000,1.206,1.207,1.203,1.205,16292.88,1775908799999,19639.73854000,2207,36.84,44.46588000,0
1775908800000,1.205,1.208,1.202,1.202,4091982.86,1775909699999,4932296.13365000,2813,14549.58,17559.95581000,0
1775909700000,1.202,1.203,1.199,1.201,4764271.17,1775910599999,5723765.61862000,2576,2475957.73,2975651.62409000,0
1775910600000,1.201,1.203,1.2,1.202,2399755.5,1775911499999,2883516.53607000,2439,1182246.16,1420159.08885000,0
1775911500000,1.202,1.203,1.196,1.196,7351904.92,1775912399999,8807962.50926000,2817,3842.35,4618.70206000,0
1775912400000,1.196,1.196,1.19,1.192,8114824.74,1775913299999,9677458.42732000,3276,2370660.61,2824217.98683000,0
1775913300000,1.192,1.197,1.191,1.196,3188973.7,1775914199999,3806868.14537000,2381,1170258.78,1396525.45842000,0
1775914200000,1.196,1.196,1.19,1.191,5252685.83,1775915099999,6261109.44861000,2486,5395.22,6429.03935000,0
1775915100000,1.191,1.195,1.191,1.195,114030.67,1775915999999,136251.83490000,2261,112891.99,134895.20551000,0
1775916000000,1.195,1.2,1.194,1.2,2014449.52,1775916899999,2413360.67403000,2474,2009927.99,2407953.36965000,0
1775916900000,1.2,1.201,1.199,1.199,4346064.09,1775917799999,5211944.17825000,2416,330571.35,396684.93225000,0
1775917800000,1.199,1.199,1.194,1.196,3669950.27,1775918699999,4389591.61011000,2546,3515.37,4208.94433000,0
1775918700000,1.196,1.197,1.195,1.196,7416.08,1775919599999,8870.00434000,2283,5117.78,6122.57531000,0
1775919600000,1.196,1.196,1.192,1.193,1305763.25,1775920499999,1557980.83621000,2276,2828.18,3377.42682000,0
1775920500000,1.193,1.194,1.191,1.193,447349.39,1775921399999,533245.40602000,2066,3646.04,4349.98143000,0
1775921400000,1.193,1.193,1.191,1.192,7584.12,1775922299999,9042.26487000,1754,5859.08,6986.48601000,0
1775922300000,1.192,1.193,1.19,1.192,6555210.74,1775923199999,7807899.75513000,2218,3548699.46,4227141.12494000,0
1775923200000,1.192,1.193,1.188,1.191,6886.52,1775924099999,8193.30718000,1781,81.00,96.63300000,0
1775924100000,1.191,1.193,1.19,1.192,5677.66,1775924999999,6766.38157000,1328,1435.68,1712.76624000,0
1775925000000,1.193,1.197,1.192,1.196,4522360.04,1775925899999,5404198.42055000,1937,4520332.16,5401775.44260000,0
1775925900000,1.196,1.197,1.196,1.197,1302504.32,1775926799999,1559095.63378000,1537,1300467.06,1556659.07082000,0
1775926800000,1.197,1.202,1.195,1.199,4686523.04,1775927699999,5617896.62274000,2437,4679645.70,5609661.98756000,0
1775927700000,1.199,1.199,1.196,1.198,7921.84,1775928599999,9486.13515000,2007,0,0,0
1775928600000,1.198,1.202,1.197,1.202,7562.47,1775929499999,9075.07275000,1970,2387.71,2870.02742000,0
1775929500000,1.202,1.202,1.2,1.201,1895520.97,1775930399999,2276523.34888000,2222,3637.46,4371.87753000,0
1775930400000,1.201,1.201,1.197,1.2,8496471.96,1775931299999,10188839.43416000,2647,2440857.10,2925812.55989000,0
1775931300000,1.2,1.212,1.2,1.208,4301441.39,1775932199999,5199833.35533000,1886,4299868.44,5197936.03845000,0
1775932200000,1.208,1.21,1.204,1.205,5155.43,1775933099999,6218.51168000,1263,0,0,0
1775933100000,1.205,1.208,1.205,1.205,7598.72,1775933999999,9167.28376000,1956,0,0,0
1775934000000,1.205,1.207,1.204,1.205,7571.79,1775934899999,9129.63848000,2083,0,0,0
1775934900000,1.205,1.21,1.204,1.21,7524.81,1775935799999,9074.77209000,1881,0,0,0
1775935800000,1.21,1.211,1.208,1.21,7589.79,1775936699999,9178.31438000,2592,2752.85,3329.79885000,0
1775936700000,1.21,1.212,1.208,1.211,7487.07,1775937599999,9058.57308000,2069,1337.86,1620.01149000,0
1775937600000,1.211,1.212,1.207,1.21,5133.45,1775938499999,6207.19917000,1290,82.71,100.24452000,0
1775938500000,1.21,1.211,1.208,1.21,4970.49,1775939399999,6012.82945000,1179,0,0,0
1775939400000,1.209,1.211,1.206,1.21,7271.21,1775940299999,8789.29045000,1772,0,0,0
1775940300000,1.21,1.219,1.21,1.218,6308095.18,1775941199999,7661146.29547000,2532,6303200.16,7655204.18182000,0
