open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,1.223,1.235,1.218,1.233,19517733.42,1775833199999,24006411.69814000,8915,9672582.07,11885226.88789000,0
1775833200000,1.233,1.234,1.22,1.221,21367712.98,1775836799999,26204693.57984000,9662,7940643.24,9734154.75958000,0
1775836800000,1.221,1.226,1.217,1.218,6219583.71,1775840399999,7606681.60344000,8693,6191833.93,7572814.83916000,0
1775840400000,1.218,1.218,1.197,1.204,30704053.88,1775843999999,37012337.04122000,10434,8937222.67,10772730.10877000,0
1775844000000,1.205,1.21,1.205,1.209,13212184.71,1775847599999,15939172.74600000,9032,8092671.92,9762961.10692000,0
1775847600000,1.209,1.221,1.209,1.217,8596555.56,1775851199999,10432000.82867000,8059,8564342.71,10392850.28866000,0
1775851200000,1.217,1.221,1.206,1.215,11870275.39,1775854799999,14353781.53836000,9945,4263435.29,5155917.92530000,0
1775854800000,1.215,1.222,1.207,1.221,3062148.11,1775858399999,3731828.00920000,7822,2150538.48,2618955.81923000,0
1775858400000,1.222,1.222,1.209,1.209,11685735.33,1775861999999,14202390.88180000,9025,13017.44,15830.01697000,0
1775862000000,1.209,1.209,1.203,1.204,8476812.78,1775865599999,10214289.21805000,9036,270564.82,325781.02875000,0
1775865600000,1.204,1.206,1.179,1.179,16378797.0,1775869199999,19485410.51557000,8646,1116496.20,1344183.80834000,0
1775869200000,1.179,1.188,1.174,1.184,26163076.83,1775872799999,30871006.37920000,9814,13232421.54,15619508.15034000,0
1775872800000,1.184,1.192,1.183,1.187,7231331.57,1775876399999,8586063.15950000,8590,7206184.87,8556199.35864000,0
1775876400000,1.187,1.192,1.179,1.182,8429812.37,1775879999999,9953223.87596000,7762,4187039.96,4942719.86173000,0
1775880000000,1.182,1.185,1.177,1.178,8020757.28,1775883599999,9464293.53863000,9907,2649008.52,3128935.44128000,0
1775883600000,1.178,1.183,1.168,1.18,16207334.93,1775887199999,19090933.96522000,9518,4309008.81,5088533.96920000,0
1775887200000,1.18,1.195,1.175,1.195,18640908.3,1775890799999,22070173.03470000,9534,12717560.52,15065199.13321000,0
1775890800000,1.195,1.195,1.182,1.188,23636394.92,1775894399999,28040128.59442000,10502,11296053.61,13413265.55224000,0
1775894400000,1.187,1.194,1.187,1.192,10062265.45,1775897999999,11978376.11506000,9109,8032377.64,9563612.67750000,0
1775898000000,1.192,1.2,1.187,1.196,8582890.58,1775901599999,10237548.35160000,9279,5289412.03,6322066.42526000,0
1775901600000,1.196,1.198,1.19,1.198,1785057.56,1775905199999,2137596.14884000,8855,1757125.72,2104221.34666000,0
1775905200000,1.198,1.211,1.195,1.205,10241297.84,1775908799999,12305451.13757000,9802,6439166.57,7752675.32104000,0
1775908800000,1.205,1.208,1.196,1.196,18607914.45,1775912399999,22347540.79760000,10645,3676595.82,4417989.37081000,0
1775912400000,1.196,1.197,1.19,1.195,16670514.94,1775915999999,19881687.85620000,10404,3659206.60,4362067.69011000,0
1775916000000,1.195,1.201,1.194,1.196,10037879.96,1775919599999,12023766.46673000,9719,2349132.49,2814969.82154000,0
1775919600000,1.196,1.196,1.19,1.192,8315907.5,1775923199999,9908168.26223000,8314,3561032.76,4241855.01920000,0
1775923200000,1.192,1.197,1.188,1.197,5837428.54,1775926799999,6978253.74308000,6583,5822315.90,6960243.91266000,0
1775926800000,1.197,1.202,1.195,1.201,6597528.32,1775930399999,7912981.17952000,8636,4685670.87,5616903.89251000,0
1775930400000,1.201,1.212,1.197,1.205,12810667.5,1775933999999,15404058.58493000,7752,6740725.54,8123748.59834000,0
1775934000000,1.205,1.212,1.204,1.211,30173.46,1775937599999,36441.29803000,8625,4090.71,4949.81034000,0
1775937600000,1.211,1.219,1.206,1.218,6325470.33,1775941199999,7682155.61454000,6773,6303282.87,7655304.42634000,0
1775941200000,1.218,1.237,1.216,1.227,19709459.73,1775944799999,24077228.70821000,8475,8278825.62,10121159.72655000,0
1775944800000,1.227,1.238,1.225,1.227,7377601.78,1775948399999,9086501.75591000,8835,6349475.34,7824857.86198000,0
1775948400000,1.227,1.235,1.219,1.223,32277505.92,1775951999999,39577491.05024000,11171,18053806.29,22155346.34635000,0
1775952000000,1.223,1.23,1.223,1.224,3598508.72,1775955599999,4420722.15800000,8026,3574817.58,4391676.06905000,0
1775955600000,1.224,1.225,1.187,1.188,29839352.84,1775959199999,35947667.52856000,8227,5800.37,6927.27295000,0
1775959200000,1.187,1.198,1.181,1.193,36345600.35,1775962799999,43300305.19580000,11094,19622611.46,23404034.96386000,0
1775962800000,1.193,1.193,1.176,1.176,24263149.09,1775966399999,28666091.09824000,10668,2323594.04,2744392.62158000,0
1775966400000,1.176,1.179,1.167,1.17,14847855.59,1775969999999,17398013.96557000,9722,8146417.06,9546617.84787000,0
1775970000000,1.17,1.175,1.168,1.174,6580185.88,1775973599999,7704539.98044000,8261,6054763.01,7090240.33783000,0
1775973600000,1.174,1.178,1.168,1.169,23796065.45,1775977199999,27942190.62679000,9863,11612032.81,13644847.75737000,0
1775977200000,1.169,1.174,1.163,1.17,15970860.19,1775980799999,18711288.07717000,9859,8178339.25,9583460.09771000,0
1775980800000,1.17,1.179,1.167,1.175,13686853.04,1775984399999,16081695.30737000,10273,7811727.62,9181579.38535000,0
1775984400000,1.175,1.175,1.164,1.165,18059396.91,1775987999999,21097706.99789000,9924,4874866.52,5690685.18445000,0
1775988000000,1.165,1.167,1.159,1.159,12652634.82,1775991599999,14713894.34500000,9446,1088650.69,1268286.31054000,0
1775991600000,1.159,1.17,1.154,1.17,15114707.82,1775995199999,17599924.53298000,9770,8868009.63,10334403.43206000,0
1775995200000,1.17,1.182,1.163,1.175,30955499.53,1775998799999,36284768.93315000,11437,14474915.23,16980054.67185000,0
1775998800000,1.175,1.182,1.171,1.174,29537933.48,1776002399999,34754213.10653000,10614,14751768.70,17362634.67566000,0
1776002400000,1.174,1.186,1.171,1.172,15194062.09,1776005999999,17879601.40190000,9431,5970505.66,7030708.44379000,0
1776006000000,1.171,1.173,1.168,1.172,12689220.87,1776009599999,14848408.47132000,8070,6455096.47,7553161.57624000,0
1776009600000,1.171,1.172,1.166,1.171,308476.43,1776013199999,361087.73270000,7877,248370.64,290831.91685000,0
1776013200000,1.171,1.184,1.171,1.183,14109164.12,1776016799999,16636374.90137000,9333,9265653.11,10915013.91230000,0
1776016800000,1.183,1.183,1.178,1.18,6240844.2,1776020399999,7374612.24764000,8491,4053944.33,4791764.45763000,0
1776020400000,1.18,1.187,1.176,1.186,6857441.16,1776023999999,8105524.50318000,9797,4027274.82,4754020.82250000,0
1776024000000,1.186,1.19,1.181,1.186,20310983.72,1776027599999,24099612.91192000,10683,16546088.66,19630655.32203000,0
1776027600000,1.186,1.188,1.173,1.177,16521672.45,1776031199999,19499801.18069000,10045,17114.88,20202.06866000,0
1776031200000,1.177,1.177,1.157,1.166,19492358.55,1776034799999,22689288.44301000,9596,4361176.51,5085034.06211000,0
1776034800000,1.166,1.168,1.163,1.166,31395.72,1776038399999,36572.20717000,8330,4373.49,5099.98756000,0
1776038400000,1.168,1.175,1.162,1.174,14984472.63,1776041999999,17555763.44289000,8441,12006344.46,14068321.77577000,0
