open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775829600000,1.3439,1.3575,1.3429,1.3573,3640707298.8,1775833199999,4915840055.34508,23080,2580360329.8,3484741387.12500,0
1775833200000,1.3572,1.3598,1.3464,1.3467,3226029495.5,1775836799999,4370828281.31929,19987,1132035233.0,1535492586.45843,0
1775836800000,1.3467,1.353,1.3464,1.3508,3107023364.3,1775840399999,4193490970.02373,21353,1798488903.5,2427143964.48805,0
1775840400000,1.3508,1.355,1.3485,1.3548,1621831166.9,1775843999999,2191482516.76121,14380,951334258.6,1286076561.22015,0
1775844000000,1.3548,1.3594,1.3526,1.3592,2535063169.2,1775847599999,3436677774.03577,19163,1732805067.8,2349643370.98062,0
1775847600000,1.3592,1.3623,1.358,1.3623,2915136873.9,1775851199999,3965382117.63848,20889,1254045307.7,1706237917.45674,0
1775851200000,1.3623,1.3654,1.3593,1.3638,2986701032.7,1775854799999,4069080776.91680,20542,1734148963.9,2362816831.01061,0
1775854800000,1.3637,1.3638,1.3578,1.3598,1180965817.5,1775858399999,1606252334.53051,12758,299704833.1,407339207.83839,0
1775858400000,1.3598,1.3605,1.355,1.3556,1348304319.4,1775861999999,1829148474.23970,14578,566174973.1,768101943.17191,0
1775862000000,1.3556,1.3563,1.3537,1.3552,1502850107.9,1775865599999,2036332546.91147,16546,627357823.2,850049840.17265,0
1775865600000,1.3553,1.3555,1.3528,1.3538,1247882317.9,1775869199999,1689765065.18007,13343,472482293.9,639824016.67139,0
1775869200000,1.3538,1.3539,1.3494,1.3523,1730989624.8,1775872799999,2339349482.09860,17277,750740657.5,1014441952.82162,0
1775872800000,1.3523,1.3559,1.3521,1.354,1334897986.3,1775876399999,1807437238.47725,16130,875451090.5,1185315031.87710,0
1775876400000,1.354,1.3564,1.3499,1.3499,1425510625.9,1775879999999,1930493452.60833,16778,525374061.2,711858902.96714,0
1775880000000,1.3499,1.3511,1.3474,1.3502,1389196895.1,1775883599999,1874695070.77323,16498,760863880.5,1026725916.09682,0
1775883600000,1.3501,1.3505,1.3456,1.3472,1748523432.4,1775887199999,2357240597.53261,16677,808070297.1,1089451981.25583,0
1775887200000,1.347,1.3472,1.3433,1.3456,1247875958.7,1775890799999,1677978210.38105,14313,256351403.7,344662316.89844,0
1775890800000,1.3456,1.3472,1.3452,1.3457,673886811.4,1775894399999,906879847.52120,16895,292268487.7,393345052.78540,0
1775894400000,1.3456,1.3477,1.3446,1.3446,776808441.9,1775897999999,1045675665.84607,11852,495651907.0,667379705.24043,0
1775898000000,1.3446,1.3481,1.3415,1.347,2096687346.3,1775901599999,2820428445.16975,17358,939680078.4,1264538678.56160,0
1775901600000,1.3471,1.3473,1.3451,1.3465,719002064.1,1775905199999,967686155.11780,12842,450245978.2,605965048.81680,0
1775905200000,1.3465,1.3486,1.3435,1.3448,1015830807.2,1775908799999,1367343338.97030,14599,463660300.5,624461558.29453,0
1775908800000,1.3448,1.3453,1.3415,1.3436,1177184142.5,1775912399999,1581284452.18490,14943,440481273.8,591520843.85974,0
1775912400000,1.3436,1.3442,1.3399,1.3442,1955762559.2,1775915999999,2624529527.79828,17461,985036222.6,1322168908.83682,0
1775916000000,1.3442,1.348,1.341,1.3415,1582802819.4,1775919599999,2127877282.09894,15781,775951266.0,1043902666.74138,0
1775919600000,1.3415,1.3457,1.3389,1.3453,1780183717.3,1775923199999,2390140906.51297,17012,980988622.2,1317826001.59541,0
1775923200000,1.3453,1.3559,1.345,1.3543,2070042665.4,1775926799999,2795326321.41342,14998,1632591792.5,2203817588.74424,0
1775926800000,1.3543,1.3545,1.3508,1.352,1384697667.9,1775930399999,1872899598.06799,15915,443088603.7,599209777.72910,0
1775930400000,1.352,1.3656,1.3507,1.3632,2492433750.9,1775933999999,3385167092.93768,16924,1630111817.6,2212550795.20043,0
1775934000000,1.3629,1.3726,1.3627,1.3706,3266433101.1,1775937599999,4467269011.76159,21398,2066243910.0,2825543827.83140,0
1775937600000,1.3706,1.3723,1.358,1.3613,2798317839.9,1775941199999,3816372069.02010,18244,1016047199.7,1384853788.92249,0
1775941200000,1.3613,1.3645,1.3593,1.3616,2238969899.3,1775944799999,3049104054.04872,17703,1235364282.7,1682642087.74262,0
1775944800000,1.3617,1.3688,1.3596,1.3612,2683167855.2,1775948399999,3657996312.07304,18608,1412332977.5,1925659294.57847,0
1775948400000,1.3612,1.3613,1.3521,1.3539,2047310735.6,1775951999999,2774503877.87397,16869,917865681.8,1243353499.37687,0
1775952000000,1.3539,1.3539,1.3509,1.3526,1574002068.6,1775955599999,2128580864.33306,15493,634229810.9,857733807.40707,0
1775955600000,1.3526,1.3551,1.3257,1.3288,3309873112.8,1775959199999,4446990611.51414,18691,982063579.6,1319529853.30043,0
1775959200000,1.3288,1.3435,1.3248,1.3337,3076479998.3,1775962799999,4096870062.05200,18252,1899857035.7,2530097375.73035,0
1775962800000,1.3337,1.3358,1.3293,1.3293,2468455585.0,1775966399999,3288477430.47408,18279,1153387848.4,1537134773.99303,0
1775966400000,1.3293,1.3299,1.3263,1.3271,1295586284.2,1775969999999,1720407730.85845,14985,494587128.2,656925740.77409,0
1775970000000,1.327,1.3303,1.326,1.3296,1468549247.9,1775973599999,1951021401.86613,15418,934838655.0,1242089963.23339,0
1775973600000,1.3296,1.3312,1.328,1.3284,1051740907.6,1775977199999,1398193625.53957,13710,294664207.5,391829157.81704,0
1775977200000,1.3283,1.33,1.3266,1.3289,1239131722.1,1775980799999,1645874060.99048,15598,642688769.0,853698993.23341,0
1775980800000,1.329,1.3307,1.327,1.3276,866783970.4,1775984399999,1151870817.83081,14662,268146552.1,356485665.75760,0
1775984400000,1.3276,1.3311,1.3257,1.3294,1255406157.3,1775987999999,1667800642.89801,14238,663738882.1,882195119.81588,0
1775988000000,1.3294,1.3322,1.3289,1.3294,799586207.4,1775991599999,1063594334.97292,13017,423119078.1,562875272.33089,0
