open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1775828700000,1.3398,1.3438,1.3397,1.3435,431305582.6,1775828999999,578697599.94036,2061,421858664.5,566010183.03332,0
1775829000000,1.3437,1.3437,1.3413,1.343,210676923.2,1775829299999,282796243.96575,1637,68983155.4,92610836.26646,0
1775829300000,1.343,1.3446,1.3428,1.3439,155144641.8,1775829599999,208411816.70139,1653,130949839.6,175909112.86525,0
1775829600000,1.3439,1.3449,1.3429,1.3436,322897905.1,1775829899999,433903314.66271,1958,196203163.7,263655126.01050,0
1775829900000,1.3436,1.345,1.343,1.343,328614044.8,1775830199999,441652077.75886,2422,123313514.7,165742120.69571,0
1775830200000,1.343,1.3478,1.3429,1.3464,455270655.5,1775830499999,612395151.32757,2407,412027633.1,554205016.57359,0
1775830500000,1.3464,1.3503,1.3464,1.349,355181003.7,1775830799999,478883656.12559,2150,288437419.9,388822432.90410,0
1775830800000,1.349,1.3536,1.349,1.3536,388002000.8,1775831099999,524358470.81219,2091,387952828.7,524292025.12903,0
1775831100000,1.3536,1.3538,1.3519,1.352,104814879.0,1775831399999,141775856.49546,1112,18824775.1,25480772.94297,0
1775831400000,1.352,1.3556,1.352,1.3548,368019383.6,1775831699999,498269175.24968,2032,334817575.6,453308007.51324,0
1775831700000,1.3548,1.3556,1.3538,1.3551,197339120.0,1775831999999,267321867.53954,1679,170619143.4,231130131.03402,0
1775832000000,1.3551,1.3556,1.3509,1.353,325326805.3,1775832299999,440154891.12858,1807,65395889.7,88499347.85751,0
1775832300000,1.3528,1.3532,1.3524,1.3524,111505671.7,1775832599999,150828132.39823,1296,16218228.8,21942501.30393,0
1775832600000,1.3524,1.3553,1.3523,1.3538,375295741.9,1775832899999,508160369.86233,1985,288246511.5,390323748.54111,0
1775832900000,1.3538,1.3575,1.3536,1.3573,308440087.4,1775833199999,418137091.98434,2141,278303645.6,377340156.61929,0
1775833200000,1.3572,1.3591,1.3572,1.3576,292241748.1,1775833499999,396901696.45651,1621,199987638.9,271612385.79537,0
1775833500000,1.3576,1.3583,1.356,1.3583,440375665.5,1775833799999,597603227.94807,2227,145035913.4,196876703.69705,0
1775833800000,1.3583,1.3588,1.3581,1.3581,77180928.5,1775834099999,104859586.45842,1082,77166172.7,104839540.58412,0
1775834100000,1.3581,1.3581,1.355,1.3569,620231140.0,1775834399999,841272776.02042,2564,143606454.7,194733310.34508,0
1775834400000,1.3569,1.3598,1.3561,1.3597,302478146.1,1775834699999,410624627.03611,2091,241182124.0,327484355.24785,0
