symbol,entry_time,exit_time,side,entry_p,exit_p,pnl_pct,reason
XRPUSDT,1775955600000,1776088800000,SHORT,1.3288,1.3455,-1.4767730282962026,ATR손절
BNBUSDT,1775955600000,1776081600000,SHORT,593.82,598.86,-1.0687420430433403,ATR손절
MOVRUSDT,1775962800000,1775980800000,SHORT,1.176,1.175,-0.13496598639456714,트레일링
FXSUSDT,1775998800000,1776045600000,SHORT,0.4287,0.4277,0.013263354327035454,트레일링
MOVRUSDT,1776085200000,1776117600000,SHORT,1.152,1.191,-3.6054166666666796,ATR손절
BTCDOMUSDT,1776088800000,1776121200000,LONG,5252.3,5202.6,-1.1662521181196774,ATR손절
DOGEUSDT,1776088800000,1776110400000,LONG,0.09215,0.0925,0.1598155181768889,트레일링
BCHUSDT,1776088800000,1776117600000,LONG,427.39,438.0,2.262510119562932,ATR익절
LABUSDT,1776157200000,1776196800000,SHORT,0.54066,0.50843,5.741232567602556,트레일링
MOVRUSDT,1776178800000,1776189600000,LONG,1.21,1.182,-2.5340495867768618,ATR손절
BNBUSDT,1776178800000,1776182400000,LONG,623.91,619.34,-0.9524774406564949,ATR손절
XRPUSDT,1776261600000,1776279600000,LONG,1.3753,1.3993,1.525073802079548,ATR익절
DOGEUSDT,1776268800000,1776283200000,LONG,0.09441,0.09514,0.5532231755110777,트레일링
BNBUSDT,1776344400000,1776351600000,SHORT,619.3,625.23,-1.1775326982076642,ATR손절
BTCUSDT,1776348000000,1776351600000,SHORT,73944.5,74628.4,-1.144882851327677,ATR손절
BNBUSDT,1776430800000,1776502800000,LONG,642.69,636.17,-1.2344859885792676,ATR손절
BTCDOMUSDT,1776582000000,1776776400000,LONG,5285.0,5301.1,0.0846357615894109,트레일링
BCHUSDT,1776636000000,1776646800000,SHORT,434.87,438.4,-1.0317368408949739,ATR손절
LABUSDT,1776736800000,1776758400000,LONG,0.59721,0.5695,-4.859908909763737,ATR손절
BCHUSDT,1776780000000,1776798000000,LONG,444.83,441.06,-1.0675147809275414,ATR손절
ETHUSDT,1776790800000,1776823200000,SHORT,2305.15,2368.43,-2.9651575819360882,ATR손절
DOGEUSDT,1776790800000,1776823200000,SHORT,0.09437,0.09653,-2.50886298611848,ATR손절
BTCDOMUSDT,1776794400000,1776819600000,SHORT,5284.2,5321.8,-0.9315552023012066,ATR손절
XRPUSDT,1776798000000,1776812400000,SHORT,1.4127,1.4325,-1.621571458908476,ATR손절
BNBUSDT,1776798000000,1776816000000,SHORT,626.79,633.2,-1.2426710700553745,ATR손절
BTCUSDT,1776798000000,1776801600000,SHORT,74977.5,75705.4,-1.1908245807075377,ATR손절
FXSUSDT,1776805200000,1776844800000,SHORT,0.4775,0.4958,-4.052460732984301,ATR손절
BCHUSDT,1776812400000,1776834000000,LONG,448.23,465.38,3.60616067643843,ATR익절
BTCUSDT,1776823200000,1776870000000,LONG,77460.0,79275.0,2.123144848954299,ATR익절
BNBUSDT,1776823200000,1776862800000,LONG,641.03,651.05,1.3431093708562756,ATR익절
XRPUSDT,1776823200000,1776877200000,LONG,1.4481,1.4487,-0.17856639734823862,트레일링
MOVRUSDT,1776859200000,1776902400000,SHORT,1.712,1.643,3.810373831775698,ATR익절
BTCDOMUSDT,1776866400000,1776963600000,LONG,5362.1,5073.8,-5.5966248298241394,ATR손절
XRPUSDT,1776902400000,1776924000000,SHORT,1.4277,1.4229,0.11620508510190629,트레일링
DOGEUSDT,1776956400000,1776963600000,LONG,0.09733,0.09599,-1.596759478064311,ATR손절
ETHUSDT,1776963600000,1776974400000,SHORT,2300.0,2324.98,-1.30608695652174,ATR손절
LABUSDT,1776978000000,1776992400000,LONG,0.6967,0.81798,17.187779532079812,ATR익절
